WASH7P
CICP27
LINC00115
FAM41C
RP11-54O7.16
SAMD11
ISG15
C1orf159
RP11-465B22.5
UBE2J2
ATAD3C
ATAD3B
CDK11B
RP11-345P4.6
NADK
GABRD
RP11-181G12.4
TTC34
PRDM16
CHD5
RNF207
PER3
ENO1
LZIC
NMNAT1
FBXO44
C1orf167
MFN2
VPS13D
KAZN
TMEM51
C1orf195
RP3-467K16.4
CASP9
FBLIM1
ANO7P1
C1orf134
NECAP2
RP4-798A10.4
RP11-108M9.4
PADI1
PADI4
ARHGEF10L
ALDH4A1
RPS15AP6
HSPG2
LACTBL1
ID3
C1orf63
RHCE
MAN1C1
ZNF593
CD52
RP3-476K8.4
AL353354.2
MECR
RP11-111I12.1
ZCCHC17
PEF1
COL16A1
FAM167B
LCK
HDAC1
SMIM12
ZMYM6
RPL5P4
KIAA0319L
TFAP2E
SH3D21
RP11-268J15.5
RP3-423B22.5
C1orf122
RP5-884C9.2
PPIE
TMCO2
ZNF684
RP11-399E6.1
EDN2
RP5-994D16.3
SLC2A1-AS1
SZT2
HYI
CCDC24
SLC6A9
RP5-1198O20.4
C1orf228
HMGB1P48
GPBP1L1
RPS15AP10
TSPAN1
RP4-603I14.3
MOB3C
SPATA6
AGBL4
NRD1
EEF1GP7
ZYG11B
RP4-758J24.5
ACOT11
MROH7-TTC4
MROH7
RP11-101C11.1
RP11-90C4.1
C1orf168
RP4-794H19.4
RP4-782L23.1
C1orf87
RP11-575B7.3
TM2D1
INADL
PGM1
UBE2U
RP4-535B20.4
C1orf141
IL12RB2
HHLA3
RP11-42O15.3
RP4-660H19.1
RP4-788P17.1
LRRIQ3
FPGT
CRYZ
RP4-706A16.3
FAM73A
IFI44
RP11-475O6.1
DNASE2B
ODF2L
LMO4
TCEB1P19
GBP7
BRDT
C1orf146
EVI5
TMED5
CCDC18
ABCA4
F3
RP11-86H7.6
RP11-86H7.7
TMEM56
RWDD3
RP11-14O19.2
RP5-898J17.1
FRRS1
SLC35A3
VCAM1
AC093157.1
RP11-556K13.1
COL11A1
RNPC3
AMY2B
SLC25A24P1
STXBP3
CLCC1
CELSR2
GNAT2
AMPD2
GSTM3
RP4-735C1.6
ALX3
SLC6A17
RHOC
CD2
VTCN1
GDAP2
REG4
RP11-435B5.5
RP6-206I17.2
HYDIN2
PDIA3P
ACP6
NBPF24
NBPF14
HIST2H4B
ADAMTSL4-AS1
PRUNE
TDRKH
C2CD4D
THEM4
SMCP
SLC27A3
RAB13
RP11-422P24.9
SHE
SLC50A1
MUC1
SCAMP3
MSTO2P
RIT1
PMF1-BGLAP
C1orf85
RHBG
PRCC
SH2D2A
FCRL2
FCRL1
SPTA1
ITLN1
KLHDC9
USP21
MPZ
ATF6
SH2D1B
DDR2
MGST3
UCK2
DUSP27
RP11-104L21.3
RP4-738P11.4
KIFAP3
RP11-297H3.4
ZBTB37
RP1-35C21.2
RASAL2-AS1
C1ORF220
FAM163A
CEP350
RP11-522D2.1
RP11-540K16.1
RP11-416K24.2
HMGN1P4
IVNS1ABP
GS1-204I12.1
AL596220.1
RP11-541F9.1
RGS2
LINC01032
RP11-448G4.2
ATP6V1G3
IGFN1
ATP2B4
SOX13
MDM4
CDK18
MAPKAPK2
IL10
PFKFB2
C4BPAP1
RP11-6J21.2
RP11-385M4.1
RP1-272L16.1
TRAF3IP3
SLC30A1
PPP2R5A
RP11-61J19.3
C1orf227
IARS2
RAB3GAP2
MORF4L1P1
SUSD4
CAPN2
RP11-504P24.4
NVL
CNIH4
GUK1
TAF5L
TTC13
GNPAT
EGLN1
SIPA1L2
MAP10
MLK4
RP4-781K5.4
AL391994.1
MTR
RP11-177F15.1
SDCCAG8
AKT3
RP11-278H7.1
C1orf100
ADSS
RP11-439E19.8
AC113607.1
AC019118.2
AC019118.3
TSSC1
TRAPPC12
RNASEH1
AC007464.1
AC011747.4
HPCAL1
