"x"
"CDC73"
"COL11A1"
"COL12A1"
"COL4A2"
"COL5A1"
"COL5A2"
"COL6A1"
"COL7A1"
"COL8A1"
"CTNNB1"
"CTR9"
"DKK1"
"EOMES"
"FN1"
"GATA6"
"HMGA2"
"HNF1B"
"HSBP1"
"INHBA"
"ITGA4"
"ITGA5"
"ITGA7"
"ITGAV"
"ITGB2"
"ITGB5"
"LAMA3"
"LAMB1"
"LAMB3"
"LEO1"
"MACROH2A1"
"MESP1"
"MIXL1"
"MMP14"
"MMP15"
"MMP2"
"MMP8"
"MMP9"
"NANOG"
"NODAL"
"PAF1"
"POU5F1"
"RTF1"
"SETD2"
"SOX17"
"SOX2"
"VTN"
