RP11-206L10.9
RP11-54O7.17
HES4
TNFRSF18
CPSF3L
AURKAIP1
ATAD3A
PANK4
HES5
RP3-395M20.12
RP13-15E13.1
NPHP4
KCNAB2
ACOT7
HES2
ESPN
PARK7
CA6
PGD
TARDBP
SRM
EXOSC10
MAD2L2
DRAXIN
RP11-169K16.8
SZRD1
RCC2
MRTO4
MINOS1
ECE1
NBPF2P
WNT4
HNRNPR
E2F2
PITHD1
SRSF10
AUNIP
STMN1
PDIK1L
FAM110D
CEP85
HMGN2
NUDC
GPR3
PPP1R8
DNAJC8
NKAIN1
SNRNP40
TMEM39B
IQCC
MARCKSL1
RP1-27O5.3
ZBTB8A
RBBP4
YARS
RNF19B
SFPQ
PSMB2
C1orf216
CLSPN
COL8A2
MRPS15
GRIK3
GNL2
C1orf109
CDCA8
SF3A3
UTP11L
NDUFS5
HEYL
PPT1
ZFP69B
EXO5
CTPS1
HIVEP3
YBX1
ARTN
B4GALT2
KIF2C
CCNB1IP1P1
HPDL
MUTYH
TOE1
NASP
RAD54L
STIL
RP11-193P11.3
RP11-183G22.1
RP4-800M22.1
ORC1
PRPF38A
SELRC1
MAGOH
NDC1
HSPB11
PCSK9
RP11-466L17.1
DAB1
RP11-243M12.1
RP11-393I23.2
RP11-393I23.4
USP1
ITGB3BP
DLEU2L
SLC2A3P2
SERBP1
LRRC40
RP11-262K1.1
RP4-598G3.1
COL24A1
CDC7
CNN3
RP11-234N17.1
PRPF38B
CSF1
DDX20
KCND3
RP11-88H9.2
RP11-389O22.1
RP11-31F15.2
BCAS2
CSDE1
SIKE1
PTGFRN
CD101
TTF2
WDR3
FAM72D
NBPF9
NBPF10
RBM8A
RP11-325P15.1
RP11-325P15.2
CHD1L
NBPF20
HIST2H2BC
HIST2H2AC
SF3B4
MLLT11
PSMB4
MRPL9
ILF2
RP11-216N14.5
HAX1
RP11-307C12.13
CKS1B
DPM3
GBAP1
FAM189B
CLK2
SYT11
MEX3A
CCT3
IQGAP3
GPATCH4
ISG20L2
HDGF
FCRL5
IFI16
CADM3
IGSF9
ATP1A2
RP11-312J18.5
PFDN2
DUSP12
OLFML2B
RGS4
NUF2
RXRG
LRRC52
GPR161
SFT2D2
TBX19
C1orf112
RP1-79C4.1
PRRX1
DARS2
CACYBP
MRPS14
TOR3A
RP1-223H12.5
DHX9
NMNAT2
C1orf21
RP4-635A23.4
TPR
LINC01036
LINC01037
RP11-445P19.3
UCHL5
GLRX2
ASPM
MIR181A1HG
RP11-16L9.3
ZNF281
CACNA1S
IPO9
LGR6
UBE2T
SNRPE
REN
CNTN2
KLHDC8A
RP11-576D8.4
NUCKS1
FAM72A
PLXNA2
KCNH1
INTS7
DTL
RP11-15I11.2
TMEM206
CENPF
KCNK2
RRP15
EPRS
LBR
SRP9
PARP1
C1orf35
TRIM11
FTH1P2
RP5-1068B5.3
NUP133
URB2
LINC00184
GNG4
RP11-567G24.1
FH
EXO1
DESI2
HNRNPU
TFB2M
AHCTF1
ZNF670
ZNF695
ZNF669
RP11-488L18.8
ACP1
RP13-512J5.1
SOX11
RNF144A
CPSF3
RRM2
C2orf48
PDIA6
RP11-345J13.1
LPIN1
AC008271.1
MYCN
SMC6
GEN1
RP11-130L8.1
C2orf44
CENPO
ADCY3
EFR3B
RP11-509E16.1
AC010150.1
GAREML
CENPA
DPYSL5
SLC5A6
DNAJC5G
GTF3C2
EIF2B4
PPM1G
GPN1
TRMT61B
