RP11-206L10.2
RP11-206L10.8
RP11-54O7.3
AGRN
RP5-902P8.10
DVL1
MXRA8
CCNL2
RP4-758J18.2
CALML6
CEP104
DFFB
C1orf174
RP11-154H17.1
ZBTB48
SLC45A1
RP4-633I8.4
H6PD
CLSTN1
CTNNBIP1
CASZ1
FBXO2
TNFRSF8
AADACL4
PDPN
CTA-520D8.2
RSC1A1
EMC1
CAPZB
MUL1
DDOST
RP3-465N24.6
TMEM50A
EXTL1
ZDHHC18
WDTC1
MAP3K6
FCN3
WASF2
AHDC1
SESN2
PHACTR4
RP1-65J11.1
KPNA6
TXLNA
CCDC28B
TSSK3
CSMD2
ZMYM4
NCDN
ADPRHL2
EVA1B
RSPO1
YRDC
RP11-781D11.1
GUCA2A
FOXJ3
ZMYND12
FAM183A
MED8
RNF220
TMEM53
PTCH2
RP5-882O7.1
EIF2B3
MRPS17P1
IPP
POMGNT1
FOXD2
RP4-683M8.2
RP11-296A18.3
KTI12
CC2D1B
C1orf123
SLC25A3P1
AL353898.2
RP11-504A18.1
PPAP2B
RP11-63G10.2
RP11-430G17.3
DNAJC6
LEPROT
SGIP1
AL139147.1
MIER1
GADD45A
ZRANB2
RP11-17E13.2
RP11-550H2.2
ST6GALNAC3
UOX
SPATA1
RP4-544H6.2
TGFBR3
RP11-286B14.2
EEF1A1P11
CDC14A
BCAS2P2
OLFM3
RP11-202K23.1
RP11-24P14.1
PRMT6
NTNG1
KIAA1324
MYBPHL
SORT1
SYPL2
CYB561D1
AMIGO1
KCNC4
CHI3L2
FAM212B
PPM1J
SLC16A1
LRIG2
PHTF1
SYCP1
TSPAN2
RP4-666F24.3
AL390877.1
SPAG17
NOTCH2
RP11-343N15.1
SRGAP2C
RP11-343N15.5
AL592494.5
RP11-343N15.2
SRGAP2B
WI2-1896O14.1
PDE4DIP
RP11-458D21.6
NOTCH2NL
RP11-458D21.5
POLR3GL
NBPF16
RP11-763B22.9
NBPF23
HIST2H2BE
ECM1
LINC00568
ADAMTSL4
ENSA
ARNT
CERS2
GABPB2
RP11-68I18.2
PIP5K1A
PSMD4
SNX27
FLG
S100A7
CHTOP
NPR1
CRTC2
NUP210L
UBAP2L
IL6R
UBE2Q1
DCST1
ASH1L
YY1AP1
DAP3
NES
RP11-66D17.3
KIRREL
PYHIN1
DUSP23
FCRL6
SLAMF8
C1orf204
VSIG8
RP11-48O20.4
PEA15
DCAF8
NCSTN
NHLH1
DEDD
RP4-782G3.1
ILDR2
RP5-968D22.1
F5
VAMP4
PIGC
SUCO
TNFSF4
PRDX6
RC3H1
RABGAP1L
GPR52
RP4-765C7.2
TEX35
ABL2
AXDND1
HNRNPA1P54
AL160286.1
NPHS2
RP11-309G3.3
LINC00272
TSEN15
EDEM3
FAM129A
RP11-398M15.1
TROVE2
LINC01031
RP11-21J7.1
RP11-563D10.1
CFHR3
RP11-382E9.1
DDX59
RPL34P6
ASCL5
TNNT2
TNNI1
CSRP1
RNPEP
PTPN7
PTPRVP
SYT2
PPFIA4
ADORA1
CHI3L1
PRELP
OPTC
LRRN2
NFASC
RP11-494K3.2
AC119673.1
SRGAP2
DYRK3
RP11-564A8.4
CR2
CR1
G0S2
HSD11B1
RP5-879K22.1
RP11-543B16.2
RPS6KC1
RP11-323I1.1
LINC00210
SLC30A10
DUSP10
RP11-815M8.1
CAPN8
WDR26
EPHX1
LEFTY1
SDE2
ACBD3
PSEN2
WNT3A
ARF1
MRPL55
