MLN
CADM2
CACNA2D1
PYY
LRP1B
SOX4
LINC00907
GAST
CACNA1C
CADPS
CCK
FEV
PAM
CLPS
BRINP3
DPP10
REG4
ONECUT3
THSD4
DACH1
RAP1GAP2
GMDS
AC018359.1
SLC8A1
MAML3
ELL2
KCNJ3
RNF220
NKX2-2
CASC15
RIMBP2
MAN1A1
H3F3B
EGFEM1P
NPAS3
MYO10
MLXIPL
CDKAL1
RFX3
PRKCA
RAPGEF4
NR5A2
PDE3A
PARD3
DOCK8
KRT19
SNTG1
GATA4
PLXDC2
MDK
DSCAML1
ARID3A
HECW2
KCNK17
POU2F2
ARC
GRIA4
HNF4A
HNF4G
VWA5B2
GIP
LINC00511
HIST1H2AC
RAPGEF5
ANK3
KAZN
PHGR1
RASAL2
NCKAP5
ARL15
PCLO
MEX3A
NEUROD1
NTS
KIAA1217
SAMD3
TRAK1
IL20RA
SHROOM3
RGS16
TMEM51
PTPRG
KCNH7
PAX4
CTD-2545M3.8
VTN
PLCG2
AC123023.1
CUX1
CACNA2D3
RASGRP1
PLD1
ACOT7
EPB41
LMX1A
RP11-317N12.1
ONECUT2
CDHR5
RAB26
A1CF
RP11-689K5.3
ACSS3
MACC1
GUCY2C
TRPC7
C10orf112
SEMA6A
RBP1
ATF7IP2
RGL1
GPR112
MID1
XIST
GCH1
AK5
LRRTM3
TFDP2
MARCKSL1
PDK3
GPR160
STARD10
FRMPD4
GAB1
KIAA1683
TCF7L2
AC074363.1
RP11-136K7.2
AIM1
WWOX
CORO2B
SI
DIP2B
ANXA13
ZFAND3
NEUROG3
PDLIM5
OSBPL10
PRLR
GCLC
MYO7B
ANKRD11
CUX2
PCSK6
NHSL1
GNG12
DPEP1
KIAA1211
SORBS2
PDE9A
SLC39A11
BAIAP2L2
CTRB2
VPS13A
ATP2B4
CLMP
PPARA
CD96
PHACTR1
FTX
COG5
PIP5K1B
PLEKHA6
TPST1
GABBR2
MMP16
ERN1
KLHL29
KDM5B
RP1-34H18.1
B3GALT5
PRDM16
TMEM132C
SLC7A5
SPATA13
MYO1D
ITGB8
BTG2
SHF
CXXC4
DBN1
KCTD16
FBN1
APOA1
HPN
GTF2IRD1
GCLM
MATN2
CDCP1
TRIO
MGAT5
MARCH3
SLC25A33
BTNL8
GSG1L
TMSB10
CHD7
GNAO1
EML4
TUBA1A
SORBS1
TTC7B
KIF13B
EZR
AGAP3
ZFPM1
CLIP2
MIR137HG
C20orf112
SETBP1
TPCN1
IL13RA1
ARIH1
LLGL2
ENPP1
CYBA
PITPNA
HPSE2
MTSS1
AKT3
SIK3
SUSD2
TUBB3
SSBP3
ASS1
CDH17
STAG1
PTK2
SLC15A1
XYLT1
RRAS2
AGMO
TAC3
ABLIM1
GPRIN2
SATB2
IFFO2
TTC28
WNT9A
PPP6R2
DUSP16
INPP4B
NCOR1
NCS1
SSTR2
LZTS1
WNK3
LRRN2
GIPR
RBM47
MCU
LINC01057
RASA4B
ABL1
PCSK5
EPHA6
PTMA
ARSJ
TUBB
ARNT2
SPTBN4
GAREM
LAMB1
ASIC5
NOVA1
CNNM1
VPS13B
KIAA1598
KDM6A
SH3RF1
KIRREL3
TSPAN18
TBC1D16
