AC023590.1
CTC-782O7.1
CCDC50
SMPD3
IL3RA
PLD4
C12orf75
PDE4B
TCF4
TNFRSF21
GPR183
APP
MAPKAPK2
PTCRA
RUNX2
PLAC8
LINC00996
COBLL1
RNASE6
SLC7A5
SCN9A
BCL11A
CNPY3
MKLN1-AS1
B4GALT1
ITM2C
UBC
SULF2
CARD11
CYSLTR1
NPC1
PCED1B
TAGLN2
CORO7
CBFA2T3
PMEPA1
SPIB
SETBP1
CYTH4
CD4
CXorf21
RAB11FIP1
SH2B3
RGS2
MPEG1
ZDHHC17
BTG2
RPS11
SH3TC1
PIK3CG
VAMP8
RPL39
LAIR1
RPL23
RNASET2
ZNRF2
IRF8
SH2D3C
RGS1
EVI2B
RPS27
LILRB4
SELPLG
RPL9
SNHG5
CCDC88A
C1orf186
CDYL
THEMIS2
SELL
FAU
CYBA
BLNK
TGFBI
PIK3CD
GPX1
MDFIC
GNAS
RPS23
RPL6
MICAL1
PLXNB2
RPL38
RAP1GAP2
SEL1L3
ARHGAP4
RPL24
RPL23AP2
MYL12A
TGFBR2
RPL37
IKZF1
RPL35
VAMP2
SIT1
SLC25A6
EIF1
CORO1B
RPL27
PABPC1
GPSM3
RPL27A
RPS4X
RPL35A
RSL1D1
RPS28
TRAK1
ZCCHC11
CCDC69
CLPS
RPL17
RPS24
SYK
RPS20
GAS6
DPYSL2
RPL21
USP24
KLHL6
HNRNPA1
CXCR4
PRKCB
CD7
PSMB10
LY9
TEX2
RPL41
RPL36A
IL10RB
SNX18
SERF2
PPIB
GZMB
MAP4K1
CAPG
TMEM63A
CCDC88B
CAPNS1
RBMS3
GPR114
HNRNPU
ARHGAP27
UNC93B1
KIAA0226
RP3-477O4.14
CBX4
NOP58
GNA15
CTD-2547E10.2
CUX2
MVP
SCAMP2
SPNS3
ZMYM2
MOB1A
OAZ1
TPM2
IQSEC1
CHCHD10
DBNL
STAMBPL1
ARID3A
UCP2
ALOX5AP
TRAPPC1
RNASEK
AR
IRF7
TACC1
TAB2
NCF4
TULP4
SERPINF1
ERN1
ITGB7
ATP5E
GRAMD1B
AC005884.1
SLC20A1
C9orf91
GABARAP
DCK
CUX1
CYB561A3
MEF2D
SUPT3H
RAP1GDS1
AL512428.1
AP1S3
CXXC5
CLCN5
TEP1
UGCG
ARF3
CXCR3
ALDH2
TXNL1
RP11-467H10.2
GIT2
UBE2E3
CLIC3
SLC2A6
NACA
C4orf3
CSNK1E
GTF3A
SNRPD2
KIAA1432
FBXO5
UHRF1BP1L
MAP3K2
ARHGAP42
MTMR1
MFSD12
VEGFB
RP3-475N16.1
ST6GALNAC4
MCC
SLC39A10
PARP10
UNC119
DUSP5
ATP5G2
GLG1
SCP2
EDF1
CDH23
OAS1
MAP1A
RYBP
LINC00877
SF1
CD2AP
ARRDC5
RPS6KA4
TSPAN13
IFNAR1
METTL7A
ATP6V1G1
EIF4A3
TMBIM6
PLP2
GARNL3
PPP1R14A
FYTTD1
RAB8A
FAM43A
FAM160A1
SLC15A4
PACS2
ANKRD11
SLC38A2
MXD4
C11orf31
ZC3HAV1
POLB
ST14
RPL13P12
PTPRS
HRH2
TPR
SMDT1
BCL3
POLD4
PLIN3
CCR2
SCAF11
CPA1
PTBP3
TASP1
PPP2R5C
SLC44A2
HHAT
RP11-38J22.6
DDAH2
COPE
BRD4
ACY3
GRINA
OST4
ANP32A
SEC31A
TRIM8
