FOS
RPL34
RPL31
RPS18
RPS14
RPL7
TMSB10
RPS27A
RPS3A
RPL35A
RPL32
RPS19
BEX3
RPS23
RPS27
RPS6
RPL5
RPL11
RPL21
RPS3
EEF1A1
RPL13A
RPL30
RPL27A
RPS12
RPL9
RPL15
RPL10
RPL3
STMN1
RPLP1
RPS4X
TPT1
MALAT1
RPS15A
NPY
RPS16
HSP90AA1
RPS8
DNAJB1
RPS24
SOX4
TCEAL9
RPS29
PTMA
BTG2
RPL23
CALM2
RPS25
RPL36
ACTG1
TMSB4X
RNASE1
HSPA1A
RPL37
COL3A1
GAPDH
RPL19
RPS20
RPL24
FAM213A
RPLP2
CKS2
LAPTM4A
H3F3B
RPL37A
RPS13
RPS17
RPL7A
ZFP36L1
BNIP3
HNRNPA1
NPM1
NREP
RBP1
BEX1
BTF3
RPS11
COL1A2
FOSB
LDHA
TUBB
EIF1
NAP1L1
RPL27
RPS7
RPL6
KCTD12
PRKAR2B
PEG3
GAS5
EGR1
HSPA1B
XIST
EIF4A2
PRKAR1A
HNRNPDL
CRYM
RPLP0
RPL10A
RPS15
SPRR2F
NR2F2
NACA
RPL23A
SRP14
CYCS
RACK1
RPL14
B2M
FAM162A
EGR2
SPARC
CAV1
COL1A1
ENO1
DIRAS3
WSB1
EIF3M
RPL39
COL11A1
SERINC5
MDK
MT3
RPL18
TMPO
RSRP1
PGK1
SNRPE
NDUFS5
HSP90AB1
NR4A1
TOX3
ITM2C
MEST
LUC7L3
DDX17
MYL6
TPI1
RPL41
HMGB2
RPL26
CCDC73
KITLG
LAPTM4B
LDHB
EMX2
EIF3E
HNRNPA2B1
RPL4
WT1
SKP1
LHX9
RBBP7
MARCKSL1
SELK
CCNL1
SRSF3
BCAS2
MORF4L1
ATP2B1
BNIP3L
HMGN3
TXNDC17
PRDX6
PLK2
SLC2A3
OSTC
RPL22
EIF1B
SRSF11
RPL12
VIM
KRT18
TIA1
NPNT
DARS
FXYD6
RPL8
CLK1
RPL29P11
RPL28
HSPA8
UBB
HOPX
MGST3
TCEAL7
ECI2
C4orf3
GATM
IFITM3
P4HA1
LSM5
CAV2
STC1
DYNLL1
HNRNPC
JUNB
C3orf58
HNRNPU
