CLK4
AKAP8L
RGL2
IBA57-AS1
MAU2
PARP6
BPI
ZSWIM8
WDR45
ZNF512B
KRBA1
CFAP58
WBP2
CCBL1
RRH
ITIH4
CHTF8
FSBP
DFNB59
TBC1D17
C1ORF101
VTN
SLC13A5
CATIP
SLC26A9
NR1D1
RP1L1
PRSS53
CYP2E1
TJAP1
THAP3
PTOV1
NPRL3
SCYL1
ZNF559-ZNF177
GOLGA8J
LRRC43
ADHFE1
COQ10A
HAMP
CHRNB1
PKD2L2
FBXO40
TBC1D29
ZNF418
POLN
CHRNE
AMY1A
AMY1B
