OCM
SMN2
DUT
FUT7
MAGOHB
IL23A
BANP
ATM
LOH12CR1
MSH6
C12ORF79
FBXO43
BACH2
KEL
RPA2
USP34
WDR53
WBP11
SAP25
ZNF439
PPP3CC
C3ORF20
WDR26
DARS
NEDD8
MAP2K1
GATAD2B
NCK1
DCUN1D5
ZMAT2
EPS15
OSBPL8
TOMM6
PFDN5
ZHX2
PRPS1
CHD8
MOB1B
C2CD3
POU2F1
RNASE3
CPNE2
KCNK7
NOL9
HBS1L
USP47
CEP170
MAP1LC3B
ITGA2B
CDK5RAP2
RIF1
CEP63
SAR1A
BNIP3L
SLU7
TSC22D2
PPBP
TIPIN
ZBTB10
SLC36A4
LINC01465
ZNF878
BLVRA
NUDT17
MED27
TAF3
AMZ2
CUEDC2
ATRX
MATN1
ZNF615
DPY19L2
NAP1L1
SMIM17
IBA57-AS1
TAF6
KAT6B
KIAA1328
PCM1
ZIK1
BRF2
HSPA1L
SMYD5
MYCBPAP
IKZF4
SMARCA2
ZNF534
EPG5
ZFPM2
RAD9B
ZNF638
PRKAR1A
RSRC1
ZNF85
C11ORF58
ARRDC3
OR2A1
OR2A42
MYO9A
TOR1AIP1
SPECC1L
RNF139
QSER1
ADAMTS3
ZNF578
TDRD12
COL10A1
ZNF544
ZNF329
TTC26
DZANK1
KIAA0825
EMC1
LRRC34
LRRC63
C9ORF50
RLN1
FAM154A
RLN2
ZC3H13
FTSJ1
CDKL4
ADAMTSL4-AS1
SPATA5
C12ORF54
LINC00923
MRGPRE
UBE2Q2
ATG10
ERC1
TRPS1
TPRXL
SLC39A2
RHCG
ANXA8L1
GAD1
RAB4B-EGLN2
CCL17
GNAT2
ITGAD
PLCD1
APLF
CAPNS2
XG
ART4
GPR182
IGF1R
ITPRIP
PKN1
HERC1
FRMD4A
NPY5R
LAIR2
FXYD7
COMMD7
PHF20
ZNF134
NT5C2
HTR1F
ARTN
FAM69B
CHRM5
SH2D5
HCRTR1
SLC39A12
SYN3
OVCH1-AS1
CREM
SLC5A10
BLOC1S5-TXNDC5
OPN1SW
AGO2
GOLGA8H
IQSEC1
SH2D4B
TMEM91
AMIGO3
WDFY2
SFTPD
ANKRD18B
PQLC1
KCNE1L
RFESD
HIST1H2BE
DUSP10
CCRN4L
LOXHD1
CDHR1
ST6GALNAC6
ADORA2B
SFTPA2
KCTD19
RNF165
CXXC5
RTN2
ST6GALNAC3
RSC1A1
TNFSF4
PITPNC1
GNRH2
C9ORF135
MEIG1
IKBKAP
ZSWIM7
ZNF680
EDA
C2ORF76
TTC23L
TMEM221
FAM186A
PLBD2
TBC1D4
TRAPPC2P1
HMBOX1
AKNAD1
TRMT112
ST3GAL4
ZRANB1
HELQ
TRAPPC2L
BTF3L4
UBE2H
SLC29A1
C12ORF60
HLTF
PRMT9
FAM19A3
RDX
ZNF331
FAM89A
ZNF460
DLEU2L
DNAH11
BCL2L13
SUGCT
PHYHD1
NPY1R
C9ORF84
DPYS
INSRR
C5ORF27
CYP17A1
GSTT2
GSTT2B
VWDE
ATP6V1H
ZMAT4
BTRC
RGS20
ZNF25
KLC1
ZNF415
TEX40
ZNF556
OTOGL
SERPINI1
LYPD1
ENO4
KIAA1324L
LRP2BP
DNAH9
C2ORF42
TMEM42
ZNF420
NSMCE1
AK8
DNAH10OS
NT5C3B
LOH12CR2
PCDHGA7
CXORF31
SOX5
IL6ST
ZNF404
WTIP
FLRT2
ZNF287
RNF212
ZNF98
NOTCH2
ZNF442
TEKT3
TSNAXIP1
ARMCX4
AASS
TSPYL5
PCDHB6
PRRX1
ZNF843
NGF
UBE2Q2L
ZSCAN21
SETBP1
N6AMT2
C17ORF51
SCGB1D2
MDH1B
WASF3
GATSL3
CSPG5
TWIST1
DDX19A
TAF9B
KATNAL1
ANXA6
STIM1
THBS3
TBL1X
KCNG1
OGFRL1
TPBGL
FER
CD81
RBP7
CYP4Z1
MAP1LC3C
CHST3
TECTA
HK1
EFCAB2
ST3GAL1
SNRPN
TAOK1
NTRK2
LRRC7
STOX2
ATXN10
ZBTB20
CMSS1
CLASP1
ZNF433
NUP210L
NUPR1
DUSP14
ATP6V1E2
EFCAB6
C11ORF65
PCDHGA8
C3ORF55
CXORF58
TOP1MT
ZNF582
GOLGA8M
ZNF626
MTRNR2L4
CCDC113
PTPRQ
ERICH2
ULBP1
ALG1L
IL13
CST1
PCOLCE
COMP
C16ORF47
PCDHA13
TPST1
CPM
COPS8
QKI
GABARAPL2
HABP4
MORN4
VSNL1
ST8SIA2
ABHD8
IGSF21
UCN
BAALC
CNKSR2
GABRD
RPH3A
PLCL1
PARD6A
NXPH4
CINP
FAM196B
CHI3L1
ACRV1
ARMC12
SLC12A1
SLC12A5
SLC1A3
TMEM170B
NUCKS1
PEX12
NAV3
RFTN2
PCDHGB6
PCDHGA2
PCDHGA3
CTSF
PCDHGA6
HS6ST2
POLR3H
PPP4R4
TCEA2
KNDC1
ANKRD6
GLIPR1L2
SPIRE1
PCDHGC4
MT3
ZDBF2
VSX1
NEIL2
KDM4D
GJC2
ZFHX2
NCALD
MARK4
ZNF483
MAG
TNRC6C
MCF2
FTO
PCDHGB3
PCDHGB2
GRM7
ELK1
DNAJC27
TTBK2
DSTYK
USP11
ARL17A
ZNF543
TRIM23
FAM120C
ZKSCAN2
CRB1
ARHGAP22
TTLL1
MEGF11
SLITRK5
EPHB6
SYS1-DBNDD2
GPR45
FBXO42
PTPN14
CGB7
BTBD18
PCDHGA11
FAM182B
ERCC4
CEP112
ITGBL1
LINC01119
DIO3
HYAL4
EIF2B3
PHKA1
USP13
CYB5R1
C2ORF74
PEBP4
C8ORF46
AQP4
NODAL
ADAM21
OSTN
BMPR1B
GLUL
CHST7
FOXO1
ZBTB16
MAP7D3
ANGPT4
CAPN11
ZNF222
SETD7
GPER1
C1QTNF1
CD300LG
PALM2-AKAP2
IRX6
GPAT2
C7ORF61
SLC35E3
DENND5A
NPAS1
MACF1
CST6
HIVEP3
VN1R1
UBTD1
LONRF1
TLE1
UPK2
UBC
IKZF2
TXNDC2
WNK1
FOXI2
SLC22A14
MYLK4
NTAN1
ABCB11
C2ORF61
KTN1
C17ORF104
CCL27
AUTS2
C6ORF195
ABHD1
B3GALT1
ABHD12B
HES7
SPTA1
TSKS
LINC01118
LRRD1
ASIP
OR5K2
PP2D1
TM4SF19
ESR1
TCTE1
LRRC23
PRR29
ARMC2
CCDC11
CDHR4
CCDC81
C15ORF26
C1ORF101
CCDC180
WDR93
DNAAF3
FAM154B
PNLDC1
CD164L2
LRRK2
OSCAR
FRY
SNX25
MYH10
C4BPA
EIF2AK4
RAD54L2
CLPB
CLEC4M
C19ORF80
BBOX1
ACSM2B
GLYAT
FZD4
TMCC1
ANXA7
XPNPEP3
FAM104B
RTDR1
WISP3
CNBD2
ACSBG2
CLDN24
CCDC148
FBXO15
KATNAL2
TEKT4
C1ORF134
C7ORF25
ZNF717
CLDN16
IQCH
HRNR
WWC2
ZNF467
SMCO3
DDX10
WDFY3
SKIDA1
ERICH6
GNE
SLC26A9
OLAH
IRX5
MUC15
NPPA
ROPN1
SRP68
NBPF14
FAM71D
ZNF732
IFFO2
RAET1L
DLX3
PSORS1C2
A2ML1
ALOXE3
GJB5
RNASE7
ZNF750
KRT14
ATF7
BICD2
CRABP2
PORCN
NOTCH2NL
SLC38A2
RDH16
PLGLB2
MFAP3L
NAA20
POLR3G
MTSS1
CILP2
HSP90AB1
ZNF496
ZMYND10
POLD2
CIRH1A
FAM65A
SYCP2L
ZNF660
CREBBP
FOXO3
ZNF385C
PER1
ZFP92
ZFP41
IPO5
TEPP
FGF22
SSBP3-AS1
TAS2R4
NENF
ZNF559-ZNF177
XIRP2
LMOD2
NMRK2
TRDN
PRSS42
RNF144A
SCGB2B2
MAGEB17
HSPB3
CLTCL1
MYOZ2
SYNPO2L
RPL3L
VEGFB
SNAPIN
SCN1B
FXYD1
BCO2
BCKDHA
EEFSEC
GPN3
UBFD1
KCNJ12
TCEB1
LRRC38
FTCDNL1
TTC7B
HHATL
PHKG1
PXT1
KLHL21
TBKBP1
RAPSN
EIF1
FAM53C
ST3GAL3
BCL6
CD59
SLC22A11
STAU2
WDPCP
MEF2A
SLCO3A1
NUBPL
FAM110B
MAP3K7CL
ZNF418
TAC4
ZFP57
MDGA1
OSBPL9
LATS2
SYNE1
RORA
MPP4
NPB
NLN
DCAF12L2
MYOZ1
MYBPH
WNT6
DNASE2B
GYS2
ECHDC3
ESYT1
FKBP5
SHOX2
PRDX6
RCL1
ALDH4A1
PRG4
LBP
PFKFB1
TBX15
MATN4
FAM153C
PRH1
ASMTL
SOX12
ALB
GAMT
GNMT
CYP3A43
