TRIM16
COPS2
HBS1L
EMX2
ABCB6
BMPR1A
ASAP3
PPME1
FANK1
SPA17
FAM227A
TRAF3IP2
C1ORF194
WFDC3
TJP2
UBXN10
CDKN1A
KIF24
FAM27D1
CCDC67
CDH10
ITGB8
RAB1A
HPGDS
SOHLH2
SELP
SELE
MAL2
PMM1
PDZD8
RIPK4
RHCG
TMEM158
C4ORF19
CA10
EBF3
GGCT
USO1
C6ORF132
SVIL
KLF5
STEAP3
TMED2
RALGAPA2
ATF4
MMRN1
HILPDA
EMC7
RGPD4
NAV2
RAD23B
PPP2R2A
LGR5
TCTEX1D1
UBBP4
C6ORF223
RNF182
KBTBD4
TRIAP1
NET1
DSG2
MRPL27
CCDC47
ZNF774
FAM84A
CEACAM7
EI24
HMGCS2
TTLL6
TTC39A
SLC6A7
FXYD3
EPT1
PLS1
SH2D6
ANO10
TMEM253
CHP2
NUDT15
TSPAN8
CES3
PGRMC2
PTGR1
OTC
AGMO
LRRC28
SLC30A10
DEPDC7
SULT1E1
KCNJ13
SLC52A3
MAOA
MYH14
ENTPD2
ASAH2B
ASAH2
C6ORF141
AKR1B15
YBX2
DMBT1
MGST3
ATP7B
KCNE2
KIAA0895
CYSTM1
STK32B
LY6H
SYT4
PYCR1
EPN3
OVOL2
LAMB3
PSMB7
PSMD8
TIMM23
TIMM23B
USMG5
PTS
ALAS1
CMA1
SLC25A10
DEFB1
SGMS2
SIX2
PCDH1
SOX9
THRSP
SCN4B
PTPN3
DACT2
TMEM135
SLC18A2
MRPS22
ABTB2
MTX2
FAM19A3
OSBP
CKB
SHISA6
NMNAT2
IL17D
LHX6
SYBU
DHRS7B
OSCP1
SIL1
ZC3H14
FBXO25
MKL2
RND2
C10ORF35
KCNK1
GJC1
STC1
PABPC4L
UCHL1
GLT8D2
CDK15
ZBED9
LRP6
SLITRK3
SCGB1D2
TATDN1
ZNF214
MT1X
KIAA1671
GRIN2A
KHDRBS3
LGI1
TMEM74
FKBP4
CYP4X1
FOXF2
GPRIN2
GGT6
CKMT1B
CKMT1A
RNF128
PLA2G2A
GFRA3
NOS1
LAMA3
DCN
PPIC
POSTN
IL22RA1
DIXDC1
FOXP2
TACC2
COBL
ASB4
EPB41L4B
SLC2A12
NDUFAF2
KANK1
NTN1
TPD52L1
TMEM117
TMC1
RAET1G
NCKAP1
ARHGEF4
PARD3
GTF2IRD1
APOA1BP
SLC47A2
IL20RA
PTGIS
PTCHD4
C11ORF70
RGS22
GYG2
CFAP57
ALDH7A1
EPB41L5
ASS1
RNF152
UGT2B7
HSPA4L
ACTR3C
ASAP2
FOXC1
CGNL1
ZDHHC9
PLEKHA5
KIAA1522
GJA1
FGFR2
MATN2
MID1
ARSJ
SNAP25
MSI1
B4GALT2
PCDH19
ACTR3B
CELSR2
SGIP1
DGKB
EFNB3
CX3CL1
CACNG4
ATP9A
RAPGEF4
IGSF1
CBLN4
TMEM59L
UNC79
CDH18
IRX3
EFNA1
FAM162B
CNTN6
JAM2
COLEC12
HIGD1B
PDPN
F3
TLL1
VSTM5
LNX1
STXBP6
ANGPT2
ADAMTS18
COL5A3
SLC19A3
CSPG5
TWIST1
BTC
ESYT3
KCTD8
FNBP1L
SLC30A2
MOV10L1
FAP
SERTAD4
LAMA4
HOXD10
USP31
ISOC1
CHRM2
DAG1
IMMP1L
VKORC1L1
KIAA1462
CXORF36
MOCS1
TBX18
SRPX
MT1A
HAS2
SPSB1
GFPT2
CILP
SLC19A2
APOD
OSR1
MEDAG
SLCO1C1
SLC17A7
ECM2
ADAMTS16
CLSTN2
LRRN4CL
FGF10
VIT
DPT
FGGY
HDLBP
MYOC
RTN3
GPR37L1
HTR2A
GLRB
HSF4
ACADL
LPPR1
USP2
SELK
EFCAB2
NOMO1
NOMO2
NOMO3
CUX1
WDR31
NEBL
DCBLD2
LRP1B
GABARAPL3
HGFAC
C10ORF111
LONRF3
CCDC113
PTPRQ
ERICH2
ULBP1
LUM
BDKRB2
PRDM6
ALG1L
IL13
CST1
TMEM242
VAT1L
NUAK1
ST8SIA2
SEMA5B
FRMPD4
STRAP
DCTN4
TOB1
UNC5A
TUBB2A
TUBB2B
MYT1L
DACH2
MRPS17
DYDC2
SH3GL3
DNAI1
PRSS12
C8ORF44-SGK3
GPRC5A
TMEM125
GGTLC3
LARP1B
TTPA
ELOVL6
HPR
PPP2R1B
KLB
ALAD
PHLPP1
MGST1
C2ORF72
NQO2
CTH
ACSM2B
GPHN
BCKDHB
MUT
C11ORF54
LDHD
PALM3
L2HGDH
ACADSB
BHMT2
ALDH1L1
DMGDH
PC
RBP4
GLYAT
FAM213A
FST
C3
INHBB
AKR1C1
AKR1C2
