ARMC6
RPUSD2
RANBP1
RNF220
PFDN6
SNRPD3
CDK5RAP1
PA2G4
WDR74
HIST1H2BJ
C19ORF43
SLU7
SALL4
RUVBL2
TAS2R19
WDR5
HIST2H3A
HIST2H3C
PGAM4
RRP15
GH1
NMU
RAB41
ZNF497
EXOSC5
ATPAF2
RPL39
RPL41
RPL6
RPL4
RPS27A
RPS18
RPS17
RPL36A
RPLP2
ZNF865
TMA7
SNRPE
TAF10
BLOC1S5-TXNDC5
OPN1SW
SNRPF
HIST1H3H
PET100
C16ORF59
SERPINE3
HIST1H4C
ANKRD33B
CWC15
AQP8
SURF6
TOMM40
ITLN2
ABHD14A-ACY1
KRTAP5-1
HPDL
FKBP1C
EIF5AL1
SELT
WNT8B
C14ORF144
THOP1
FGFBP3
CDH22
GSG1L
TSR2
TMIE
EIF3CL
SOCS7
IRX3
IMMP1L
FBXL18
DHRS2
ZACN
SERPINI2
RTN4R
CCL27
SH3GL3
C10ORF95
C6ORF201
NANOS3
HAO2
KHK
C1ORF134
PMVK
MRPS26
WIF1
UQCC3
ROPN1
ROPN1B
PADI1
RMND5B
NHP2
POLD2
MPL
ZFP41
DRD4
RRS1
NDUFB11
COX17
PDCD5
SMIM4
MRPL12
UQCC2
NDUFS6
VDAC2
TIMM44
COQ3
MDH2
RPL3L
MRPL2
TIMM50
RPUSD3
SNRNP35
UBE2M
C3ORF49
WDR12
PSMD3
GUCA1B
MRPS5
SHFM1
TACO1
MALSU1
ATP5D
LUC7L2
C11ORF71
CDC34
NUDT19
CHRNB1
UHRF1BP1
RNMTL1
ALG9
LRRC47
RPL38
SMDT1
RPL24
RPS26
KRT10
TOMM7
ZNF688
MDN1
CATSPER3
MRPL51
EMC6
PSMF1
C17ORF89
UQCR11
POP7
FEM1A
CCDC124
MRPL4
SATL1
C19ORF68
C14ORF39
MRM1
PLEKHG4B
OR10AD1
TVP23C-CDRT4
CEBPA
UFSP1
SLC25A48
EXOSC6
NR1I3
RMND5A
LSM3
NMT1
FKSG49
SMTNL1
AFG3L2
C11ORF31
NACA2
TMEM160
SART1
TMEM223
KLK2
RPS28
FKSG48
ARG1
ETV2
PRH1
CPA2
CTRB1
CYP3A43
