AIP
MAD2L2
DEF8
TMEM259
ACD
PYCR2
CDPF1
GRINA
NINJ1
VPS18
LRWD1
ARL8A
RNASEK-C17ORF49
KDM6B
APBA3
TLR9
ZNF362
SH2D3C
RBM42
PNPLA6
PPM1F
C19ORF53
MECP2
RUVBL2
C20ORF27
HSPBP1
MRPL28
ZBTB12
CENPB
DGCR14
SH3GL1
PUSL1
PTPN23
SNAPC2
TRMT61A
KCNN1
C9ORF16
PIGQ
C19ORF71
BOP1
OGFR
SLC26A11
CCDC38
TRIM35
RNASE10
HSPB1
ZNF574
HSF1
GRWD1
FAU
EEF1D
MPG
EEF2
EIF3G
RPL29
BCL9L
NATD1
RPS9
SLC4A2
CTBP1
NOSIP
CSNK1G2
CCDC22
MIIP
RPUSD1
CEP131
CLCN7
TRMT2A
C17ORF70
AMDHD2
STRN4
ABTB1
ZBTB17
TSSC4
MFSD10
PKN1
LENG1
ZCCHC3
NELFB
WDR24
E4F1
NME3
BTBD2
XAB2
SF3A2
MTA1
BRAT1
CACTIN
TIGD5
KDM4B
FLYWCH2
SSBP4
SNAPC4
INPP5E
RAI1
ZNF282
ZNF414
ZBTB45
BRD3
TFPT
KMT2B
TUBGCP6
TELO2
ANAPC2
FLYWCH1
AP5Z1
PRR12
ABHD17A
NOC4L
INTS1
PIDD1
C21ORF2
CROCC
RNH1
HDAC5
KLK14
FAM212A
DNAJB2
ACAP3
ZNF512B
TSNARE1
GAS2L1
VPS51
TBL3
NELFA
NKPD1
BRF1
BRD4
ZNF598
DHX34
ATG2A
ELL
MED16
RTEL1-TNFRSF6B
DDX54
CITED4
SHARPIN
NPEPL1
MAP2K7
NR1H2
MBD3
DRAP1
UCKL1
NDUFA11
TCEB2
KRBA1
CFAP58
THAP7
NFKBIL1
RFNG
GPR146
USE1
SCNN1D
POMC
RHBDD3
SLC38A10
RFX1
OOEP
MEGF6
ODF3B
SAP18
LONP1
NDUFC2
RAB11B
ARVCF
OGFOD3
MRPL43
TMED1
UCK1
AMFR
UBALD1
C16ORF86
GUK1
GET4
SPSB3
OGFOD2
TXNRD2
PHRF1
C19ORF24
ASPSCR1
PEX16
RNF126
CHERP
DPP7
A1BG
H1FX
CBX4
SUN2
CMTM2
PARP10
FAM69B
GJA3
CYP26A1
WBP2
FAM195B
RGCC
FKBP8
SMOX
SYNGR1
C1ORF52
MAPK8IP3
IQSEC1
ATP11A
DDX49
CTU2
FZR1
ZFPL1
GMEB2
IMP4
SSNA1
C1ORF35
ARMC5
TNK2
MRPL55
SSSCA1
SERTAD1
PQLC1
KCNE1L
ZC3H3
PQLC2
TMEM86B
TMUB1
MVD
DOHH
GNB1L
PPP1R37
TRIM73
IZUMO1
TRIM74
TBX6
TMEM175
KLHL17
BRICD5
ATAD3A
DEFA3
TECPR1
FBRSL1
ZNF428
ADAMTSL2
TRIM8
SPX
JMJD4
AP2A1
PRRC2B
TAB1
LLGL1
NCDN
SCAF1
CRTC1
CHPF
LRRC4B
MLLT1
GTF2F1
CIC
TBC1D17
LTBP3
ZNF843
IRF2BP1
ZBTB46
FBXO44
IRX3
SLC39A13
NCKAP5L
GATSL3
NDUFA4L2
PPP6R2
WDR81
POLR2E
MDFI
GPX1
EVA1B
RASIP1
KANK3
ZDHHC8
SHANK3
MXD4
WIZ
EGFL7
GDPD5
LIPE
FBXL18
SOX18
NUCB1
MGRN1
CHADL
DBN1
RAB11FIP3
LRRC24
DAPK3
SHC2
DVL1
SIX5
COMT
DLK1
LRP3
STOML1
RTN4RL2
ATAD3C
RAB43
WDR66
PHF13
ADAMTS10
ABHD8
UCN
CCDC106
HSD11B1L
RGS12
RTN4RL1
PIN1
NXPH4
PRR7
PANX2
DEAF1
VPS9D1
SBF1
C16ORF96
C19ORF26
ELFN1
METRN
CBX8
RTN4R
TCEA2
KNDC1
UBTD1
UPK2
ASIP
MGMT
ZMAT5
ISYNA1
TTLL9
LDHC
KCNK15
MAFK
ZSWIM4
GAA
LAMA5
LY6E
FASN
NQO2
ZGPAT
GALK1
PNMA6D
PNMA6B
SELO
INHBB
COL18A1
HSPA1A
HSPA1B
ESM1
LRRC29
VASN
FUZ
TRIP6
KIFC3
GNPTG
WDR18
RPS19BP1
SURF2
SMIM1
EXOSC4
CHCHD5
PCSK4
ZNHIT2
TOLLIP
GPAA1
SLC25A42
COPE
CHST1
MZT2A
DBP
NOC2L
KRT5
SERPINB2
KRT16
C19ORF47
RPP21
FJX1
ZNF653
CD3EAP
CRISP3
ZNF835
FAM65A
TJAP1
THAP3
PTOV1
NPRL3
PCIF1
SCYL1
XIRP2
DRD4
CRIP2
ANKRD39
TWF2
RRAD
AES
BCKDK
ACTN2
GPC1
PACSIN3
MTG2
THAP8
TMEM161A
PRSS45
FAM50B
HEXIM2
AHDC1
DGCR6L
POLR2I
DOK7
ANAPC11
NDUFS7
ARL6IP4
SIVA1
TRAPPC5
GPX4
MLST8
GTPBP6
TSR3
MRPL53
NUBP2
ZNF524
ADRM1
FBXW5
UBXN6
CDC34
RPS10-NUDT3
GADD45GIP1
TMEM201
SGTA
TCAP
PPP2R3B
STUB1
PLEKHM2
NT5M
GPS1
ATXN7L2
KLHL21
NCOR2
PKD1
PACS2
MAP3K10
R3HCC1
RRP12
LSM14B
TBKBP1
HDGFRP2
POP7
FEM1A
CCDC124
MRPL4
AP1M1
JOSD2
CYHR1
VWA1
NKX3-1
CEBPB
POLR2L
PTRH1
SLC2A4RG
POLN
SLC27A5
FCN2
MZT2B
C6ORF226
ZNF628
SART1
FAM207A
DNLZ
CHRNE
C1ORF86
TMEM121
ZNF444
IRF2BPL
RPLP1
PDLIM2
MID1IP1
TMEM213
C19ORF60
SAC3D1
SCAND1
CHST12
CCDC85B
PLEKHF1
HIST2H2AA3
HIST2H2AA4
MGAT2
DDIT4
C7ORF50
SARDH
ASMTL
SOX12
MAN2B2
JADE1
LMF2
CTRB1
CELA2B
CPA1
CTRB2
GAMT
RXRA
MIB2
ULK1
PLEKHH3
