SAP30BP
ATAD2
E2F1
TAGAP
RQCD1
DDIAS
FGD2
CD84
EVL
P2RX5
BTK
TNFRSF13C
CD80
PLA2G7
SLFN14
STAB2
SYVN1
CENPI
C12ORF45
NFATC2
RASSF5
KIFC1
TREML1
GSG2
HJURP
HECA
KXD1
PKMYT1
YY1AP1
RAB30
ADAM19
HTR3A
MTHFD2
PRDM15
ADA
LRRK1
FBXO41
DGKA
BCL11A
IL20RB
ZDHHC18
OTOA
FBXW7
B3GNTL1
ZNF273
RNPS1
NARF
NPIPB3
PLB1
DGKD
PLCXD1
BARD1
OTOF
ATG12
ZGRF1
SLC9B2
C9ORF72
SPC24
PPEF1
ZNF850
BRD9
SRRM1
CIZ1
NPIPA7
NPIPA2
NPIPA3
NPIPA5
AGO4
FAM180B
FANCE
POLR2J2
POLR1E
AGAP6
CSNK1E
CENPT
RALGDS
DCST2
CDRT4
CLASRP
DDX11
ASMT
TRPC4AP
ANKDD1A
SV2C
KCNH8
CAMK1D
PPRC1
S100B
GPR75
STXBP5
B3GAT2
XYLT1
SACS
ADD2
TAC3
CCDC163P
FRMPD3
LGALS9
STARD5
RASSF3
HTR7
DSG3
ADRB2
RIN1
C19ORF57
MYC
STAR
IGLON5
CACNA1I
GNL3
YARS
C1ORF127
INTS8
MLXIP
RPS11
UBA52
RPL10
RPS2
RPL30
RPS15A
SRRM2
FAM129A
AREG
ATF4
SEC24D
MMRN1
BMX
LSP1
PRR33
DPEP3
UNC13D
PIK3R5
RASGRP4
SAMHD1
ITGAX
RNASET2
TRPV2
PLA2G5
IGDCC4
FAM49A
KCNQ5
RSPO2
CSF3
GFI1B
DIAPH2
RPA4
PRG2
EBLN2
DUSP10
HK2
PDE6A
RNF125
C6ORF141
SMPD3
C17ORF67
CATSPER2
TRPV3
GFOD1
MPO
NINJ2
RETN
PGLYRP1
TMIGD2
NFE2
CTSG
RAB44
OR2W3
MMP25
HK3
SPHK1
MARS
TNFAIP6
MYADM
TEKT5
PBX3
SLC27A6
FAM19A3
KLC1
CELF2
GAS7
CCDC136
TMEM132B
CADM3
KCNT1
MMP16
TMEM45A
ELMO1
PTCH2
WISP2
COL5A3
GLIPR2
RCVRN
STIM1
CCND2
SCN5A
ADAM33
AVEN
XAF1
PIK3R6
GDPD5
KCNIP2
ACKR1
CNR1
VWF
TUSC5
VIT
MEOX1
CADM2
CCIN
CUL1
NIPAL4
LHFPL2
CNKSR2
SLC1A4
KCNK9
TTLL4
CCSAP
PAQR4
AGAP2
WNT10B
GOLGA7B
C2ORF61
KIF19
TPO
TSPAN13
NME8
IGSF10
DLX4
NANOS3
HS3ST2
SLC43A3
TTC39C
CLEC4G
HP
SCARB1
SERPINB2
TGM3
DSC3
ADAM15
RAPGEFL1
PLP2
KRT1
TP73
GALNT1
FOXN3
RNF217
PENK
PABPC4
CTRL
SRM
ALDH1L2
MAGEB17
CDCA7L
XRCC3
CDCA7
EFCAB8
CBFA2T3
ITPRIPL1
SESN1
CCDC62
MKNK1
PDLIM3
FAM179A
CD99
SERPINF1
PODN
CDKN2B
MUSK
SCARA5
TXLNB
RXRG
PRRT4
METTL22
NRD1
ALK
C1ORF21
LTB4R2
GNRH1
EEF2K
CEBPB
FAM214A
MARCO
CDH23
LRIG1
DCLK3
