ECT2L
BSDC1
TAS2R31
ANGPTL5
CDKL5
TULP2
PMM1
NXNL2
GAD1
CA10
DCANP1
EQTN
MRPS2
AMFR
FAM178B
OR1L8
ZADH2
SPATA22
ZSCAN1
C1QTNF4
GGN
SHPK
LRRC28
ADAMTS13
DHDH
OR7D2
NPIPB15
IGSF5
MAP3K15
EPHX1
AMHR2
C19ORF45
RNF148
HERC2
C22ORF31
GPR12
HDAC11
OPHN1
C8ORF34
FGF14
CYB5D2
IQUB
C2ORF73
IQCK
PAMR1
DSCAML1
SCAPER
CNIH3
C1ORF229
HSFX1
ATRNL1
DCAF8
SCGB1D2
SMIM19
HYKK
FAHD2A
PER3
PEX7
FOXO6
ANO4
TPPP
ZDHHC11B
PIK3C2G
FATE1
IMMP2L
TEX2
SKOR1
FAM149A
PDK2
FN3K
INSR
TOMM20
ST7-OT4
ZNF433
OXR1
CABP7
TPRG1L
SIM2
C1ORF111
CTSF
MAG
NPFF
VN1R1
FZD9
CCL27
LINC01118
TMEM40
SPAG6
DNAH12
EFCAB1
C9ORF24
BCAS3
CCT6B
LDHC
SPAG17
VTCN1
C1ORF168
SDHD
CD164L2
C8ORF44-SGK3
ZDHHC11
FGG
TTR
C19ORF80
PHLPP1
TMEM205
NFS1
PEBP1
GAS2
BBOX1
FTCD
ACSM2B
TMEM27
GPHN
PDXP
CNDP1
KIF9
ZMYND12
KLHDC2
MEI4
CLCNKB
LRRC29
C15ORF37
PDF
KCNJ16
ST7
TEKT4
AIG1
C1ORF134
KIAA1191
APOM
C6ORF58
RAB4A
EIF4EBP3
RP1L1
ALOXE3
GJB5
RNASE7
PGAM2
FBXW4
GSTA4
ALG14
LMO7DN
KRT4
AMBP
CRISP3
PICK1
CLUL1
SLC25A26
TXNRD3NB
CCNB1IP1
USP30
THAP9
GOLGA6A
MXI1
NDRG2
ATP1B2
NENF
ZNF559-ZNF177
FAM210B
XIRP2
LMOD2
NMRK2
TRDN
PRSS42
GAS2L2
CKM
AAMDC
PINK1
GRK4
PPP1R1C
ANKRD2
PNMT
APOPT1
PRSS45
FIS1
TRIM45
MROH7-TTC4
OR2C1
GSTT1
NDUFA10
MED9
CRADD
ZFP57
PRDX2
H1F0
