RFX5
DCLRE1C
POLG2
ZNF266
TBC1D22A
CDC42SE1
NUPL2
ARID1A
CMTR1
U2AF2
DBNL
CHKB
EIF2B1
CGGBP1
DDX26B
ST8SIA1
RNF4
HNRNPR
PPP1R8
POLA1
SENP1
NDE1
NCAPD2
DNAJC8
PPHLN1
PPM1M
MOB3A
NPAT
PDCD2
ZNF143
TP53RK
TGS1
KIAA0586
TRAFD1
IQCB1
NUP107
ANKRD13A
RIC1
PRKD3
RHNO1
UBLCP1
HTRA2
GRB2
BUB3
FAM192A
SMARCD1
TINF2
TARDBP
RBBP4
MED1
SUPT16H
DGUOK
DCAF7
C15ORF57
INTS4
MAP3K7
NAT10
RPP30
TRAPPC1
TRNAU1AP
MTA2
PRKRIP1
UBA3
ACTR8
ANKLE2
RRP7A
EED
C17ORF62
ZBTB14
MITD1
PIK3IP1
SPDL1
TRAF3
FMNL3
ZBTB24
CBL
TBC1D31
TRAF1
LEF1
ZNF107
M6PR
SYNRG
SMG9
TRAF2
LAT
LINS
GGA3
KIAA1524
PIK3CD
ABI1
INCENP
NOL7
ZNF773
GSTCD
TBL1XR1
RAB3GAP2
METTL4
SNX11
MSH2
ZNF182
LYRM4
ZNF860
C5ORF34
PRPF31
SDHAF2
ELAVL1
ODF2
RUVBL1
L3MBTL2
POLR2G
SNX17
NAIF1
TTI2
PDRG1
BUD13
OTUB1
APOBEC3C
MGAT5
LBH
NAE1
ZNF195
ZNF675
RBM45
TTC13
FUBP1
RBM26
PAPOLA
RBM19
TBP
PAXIP1
NOL12
FAM122B
METTL3
PDCD7
OVCA2
STARD3
OGT
LEMD2
MUTYH
CAPN10
CCDC130
TRIM52
PHF11
ZMYM6
ANGEL2
PPWD1
EGLN2
AGER
ZNF792
EHMT1
VAC14
SRSF1
SET
NDC80
CDCA2
PSMB4
SSBP1
GINS1
FAM72D
ANKRD55
MTBP
RPL39L
CBX3
RNASE6
PIM2
GINS3
INTS2
RFC3
XRCC4
HLA-DMB
CXORF38
DSN1
POLA2
PPP1R18
HDAC3
CTR9
SS18L2
MTERF1
ALKBH6
ARPC5
ATG7
ZNF721
TRIM26
UVRAG
NUP85
ATF7IP
SNRNP40
ABCE1
UBP1
INIP
C11ORF48
ARPC4
UPF2
TIMD4
ERH
APOBEC3G
TFAM
NUB1
GLRX3
PINX1
SLC9A9
USP6NL
DAXX
CEPT1
NECAP2
WDR11
UTP3
EML3
FNBP1
CD74
HPS3
SNX8
INPP5D
DUS2
HVCN1
EVI2B
CD37
LIMD2
CD52
IL16
ITGAL
IRF8
AKNA
ARHGAP25
LY86
ITGB7
GNGT2
WDFY4
GRAPL
CLECL1
FAM129C
TRIM38
CD48
CD79A
FCRL5
EOMES
NCR3
TCL1A
LAG3
CDC123
MCM3
CENPQ
PSMB2
SMC6
CHORDC1
DDX18
CHMP4A
PPIG
JAK1
OCM
HAUS1
CTNNBL1
ZNF318
MBD4
ZNF490
ELK4
PAICS
RALGPS2
FTSJ3
OGG1
DPM1
HNRNPF
PSME1
EMG1
AATF
RRP8
ZNRD1
MBD2
HLA-DRA
HLA-DMA
PSMB8
TNFRSF10A
CD3E
P2RY10
CD96
C19ORF40
KIAA0125
HLA-DPA1
RPF1
ICOS
NFKB1
PPP4C
PHF5A
MAGOH
SCAF11
HMGN2
FXYD5
RAC2
TBC1D10C
GART
NCBP1
NDC1
AQR
ZWILCH
NUDT5
PPP2R5C
RABGAP1L
POP5
ZFAND4
CD27
THEMIS
CD5
TNIP3
HNRNPC
EXO1
KIF20A
POC1A
YTHDF2
U2AF1
RNF19B
DHX9
SENP5
RAE1
FBXW2
SMN2
WAC
ATG13
BUD31
CCNK
TRIM13
DHX8
SAP130
BRAP
RNF6
RBM22
HNRNPU
HNRNPK
RAD21
RBM34
SASS6
CENPL
CNTRL
ZNF551
ARHGAP19
ZNF92
SCLT1
VRK1
MIS18BP1
NIN
DNAJC9
SAAL1
DDX39A
HAUS3
MTF2
DTYMK
VTI1A
RIOK1
MCM7
CWF19L1
PPIH
USP1
PRPF38A
CPSF6
TMEM55B
EIF1AD
E2F4
H2AFZ
ZNF207
QRICH1
WTAP
GGNBP2
HNRNPD
SRSF2
EWSR1
USP16
DUT
NASP
BRIX1
NUP155
CDC40
C18ORF8
SUZ12
PCNA
ANKRD49
TOE1
TOPBP1
CYLD
GABPB1
CASP2
RFC4
HMGB2
SMC4
HAUS6
CKAP2
NCAPG2
PLEK
CD83
DBF4
FANCA
MAD2L1
MICB
SPN
RHOH
CDCA5
CDK1
CHEK1
KIF20B
KIF11
CENPE
ERCC6L
KIF14
CDCA8
NUF2
NCAPH
GTSE1
VAMP1
YY1
DCP2
AFF2
VPS33A
RAB42
SAP30BP
ATAD2
E2F1
TAGAP
RQCD1
DDIAS
OTUD5
CDC7
USF1
CRTC2
GMFG
BIN2
SASH3
ARHGAP9
PARVG
GPSM3
GIT2
RUNX3
PLD4
FUT7
TYK2
ZNF548
IL10RA
KIAA1429
HAUS4
MGEA5
ZC3H15
RAD51AP1
CENPU
STX10
MED30
TRAPPC10
DNAJC2
PAPD4
ZBTB1
JMJD1C
DNMT1
SRSF10
BNIP2
CWC25
REST
HIST1H1D
YEATS4
ESCO1
DHX36
FRG1
G2E3
TAF2
TOP2B
ZNF280C
MAGOHB
DDX56
NXT2
TDP1
TMEM194A
TAF5
BORA
R3HCC1L
UTP18
FAM208A
RFC2
CEBPZ
DCAF12
TRAPPC2
ALG6
RBBP5
PRPF19
PRPF4
BRIP1
GCC1
ISG20L2
VRK3
PANK2
CCDC138
BPTF
RBM14
ZNF830
NONO
RNF40
GAR1
AP1G1
SPAG5
SNIP1
POLE2
STIL
MMS22L
