CDC123
MCM3
CENPQ
PSMB2
SMC6
CHORDC1
DDX18
CHMP4A
PPIG
JAK1
OCM
HAUS1
CTNNBL1
ZNF318
MBD4
ZNF490
ELK4
RALGPS2
FTSJ3
GART
NCBP1
DHX36
FRG1
G2E3
TAF2
HMGB1
SMC1B
POLR2D
CPSF3
DIS3
SKAP2
SEH1L
STMN1
PIP4K2A
PAK2
ETS1
MYBL1
SMC1A
NIFK
MAK16
PTPN1
NIP7
MCM6
SMC2
RNGTT
WDHD1
FAM72A
GINS4
C5AR2
WAPAL
CHAMP1
CCDC126
FBXO4
IL4R
MPHOSPH9
NUP50
NUSAP1
PIKFYVE
KTI12
HAUS2
CLEC4C
CHRAC1
FAM175B
IK
UBE2D2
RPA2
FIBP
URM1
RANGRF
RTFDC1
SSH1
STIP1
TNPO3
NCL
CWC27
VCP
GNL3L
POLR2B
PSMD13
CCT6A
TAF15
DNAJC7
XRCC6
LSM2
CSTF2T
DTNBP1
TCEANC2
TERF2
AP4E1
RHOA
UBE2L3
TPR
TDG
FDXACB1
DCK
CCT2
EXOSC9
SMC3
USP39
DDX20
PHF19
MIF4GD
TFIP11
ISY1
PSPC1
ATG16L1
ZNF592
CBLL1
BRD7
GMEB1
USP10
LNPEP
GLMN
CCDC77
ZFYVE26
METAP2
RAN
TRMT10C
SARNP
DEK
HMCES
HNRNPA2B1
NSUN2
RPAP3
TRIP12
UTP6
G3BP1
CPSF2
SPDYE3
PSMA4
NFYB
DONSON
CELF1
P2RX5-TAX1BP3
WDR53
LYAR
NFATC3
C22ORF34
ZCCHC10
POLR3GL
PSMA3
LSM5
PPM1G
ATIC
UFD1L
NOL11
LSM14A
PSMA7
H2AFV
CCDC18
MCM10
UBE2S
CENPH
MCM4
ANP32E
LTV1
MED6
FEN1
UBE2T
MCM2
SUV39H1
SLC15A4
TPP2
CEP350
TNRC6B
GVQW1
C16ORF87
EFTUD2
DNTTIP2
RBL1
NOP56
ARPC4-TTLL3
DDX46
UBE2N
PRKRIR
AIRE
LIG4
MDS2
C1ORF54
MRPS18C
PSMC5
VTA1
GTSF1
USP14
NR3C1
NSFL1C
RBM8A
C18ORF25
GRPEL2
WDR26
OXSR1
HSPA4
UBE2G1
ENSA
IL20RB
RRM1
VSIG8
ZMAT2
EPS15
MAP4K4
MED4
CCT5
PSMA6
BECN1
DNTTIP1
SNX5
NPL
MEF2BNB-MEF2B
COMMD8
DDX19B
HNRNPH3
DCP1A
RIT1
POM121C
SBNO1
SDE2
BRAF
IKZF5
RLF
FBXO28
NDEL1
RC3H1
NOM1
GPATCH3
USP47
CEP170
NSRP1
RAB18
LIN54
VPS29
SLK
PHACTR2
IREB2
PAFAH1B2
MEGF9
EPHX4
CHMP2B
CCDC82
SKA2
FYN
GPATCH11
CLTC
CLDND1
HSPH1
PHACTR3
YWHAH
FBXL20
SLC9B2
VPS41
BEND6
CPNE8
WDR44
VAMP7
SLC35B4
FMR1
PLOD3
CYSLTR2
LEPROTL1
MTHFD1L
PPM1D
CHML
AGFG1
SYNJ1
ASAP1
LOXL3
RPGRIP1
PICALM
STOM
RRAGC
ACER3
PTEN
BIRC7
PTPN12
FUT11
ADAM17
UXS1
VAMP5
HIP1
ZNF597
SNW1
MEX3C
GPN2
CEP76
CENPF
TAF11
SHOC2
C3ORF38
RC3H2
GNA13
TYMS
SGOL2
CKS1B
CRNKL1
TROVE2
ROCK1
ZEB2
UTP15
SPRTN
E2F7
CCNT1
TUBGCP3
ABHD13
ARID4A
KLHL28
ZNF18
RAB8B
ZNF724P
XRCC2
VCPKMT
ZBTB37
ATP8B3
CDC42
MIER1
NUPL1
NUP93
ADNP2
LLPH
GAB2
TRERF1
ANKRD32
KBTBD2
CSGALNACT2
RNF19A
ZMYM5
TSC22D2
PSMC6
RP2
DCLRE1B
C9ORF72
LIPN
FBXO38
SOCS4
CTDSPL2
SLC25A32
USP12
LRRC40
TMX3
HERC4
FGFR1OP2
CKS2
SPG21
FCF1
BDP1
RAD54B
TYW1
BICD1
HDGF
RNASEK-C17ORF49
KDM1B
RANBP10
HIPK1
ZNF487
PSMC3IP
ULK4
COL4A3BP
PIK3CA
KCTD20
IRS2
RHOXF1
LRRC8C
RPGR
CNTD2
FAM76A
PSMC2
RNF168
RACGAP1
SPC24
HUS1
UBE2D3
GTPBP4
PPP2CA
ABCF1
MTDH
BCAS2
PLAA
RANBP9
CNIH4
PPP1R15A
SLC12A6
LACTB
MEMO1
UBQLN1
UHRF1BP1L
DNM1L
MAFG
CRKL
SMNDC1
FAM124B
RCOR1
GPR1
MFSD2B
TAL1
RBM17
ARMC8
TLK2
PSMD2
CUL5
PCNT
SOS2
KANSL2
PHTF2
PPP1R2
MTRR
OTUD1
ZDHHC7
MTHFR
CFAP45
COMMD9
PATL1
TFRC
PPBP
PTDSS1
ZFP69
CDC25C
ZFP69B
MFHAS1
RFC1
BCL2L11
TIPIN
STK17A
TMEM194B
ZPR1
AGO3
RNF103
PIM1
TWISTNB
ZNF622
HRH2
HERPUD2
AHCTF1
GMNN
RIBC2
WDR43
DDX21
CHD1
YRDC
SESN2
PNO1
CHRNB4
ZBTB21
NFIL3
UGCG
FOSL2
PLEKHM3
HPRT1
PHACTR1
BEST1
EAF1
FAM126B
RFPL2
LILRA5
SNRK
SH2B3
PHTF1
SLC2A3
PTGS2
SLC2A14
FEM1C
KLHL15
SLC36A4
KDM6B
S100P
ZNF850
UBE2G2
ST3GAL2
GEMIN2
LARP7
PEAK1
JAK2
NDUFAF7
RAD1
CNST
APEX1
CDC5L
CEP57
INPP5B
XPO1
PSIP1
ZNF257
SART3
DNAJC18
REV1
C2ORF49
GPATCH8
FLCN
THOC5
DHX35
CDKL1
SIMC1
HDAC2
TAF1
LMBR1L
CEP290
CENPJ
WDR82
KCTD7
NR2C1
HOXA10
CXORF23
RTF1
GTF3C3
DESI2
ARIH1
CACUL1
ATXN1
ADD1
TNKS
USP22
PARP2
ZNF519
CLCN6
TBCB
FAM98B
OTUD6B
ZNF534
SLC4A1AP
ATP6V1B2
SNX27
ARHGEF7
TRIO
ITGB1BP1
ADCY3
RPAIN
PIGS
C12ORF4
PLXNC1
UBE4B
EPG5
PPFIA1
BCL2
EIF4G3
VAMP3
ZFYVE1
GNPDA1
ABCC4
CAPZB
PAFAH1B1
TOX4
RNASEH1
PDCL3
VARS
KIF3C
XRCC5
BRCA1
CDC73
SNX14
CDC27
ITGB3
ZNF682
RRN3
ZNF805
FAM45A
PAQR7
C11ORF96
SAP30L
SEC24B
CNTLN
PRAME
METTL14
DENND6A
RSF1
NAB2
RAB33B
BTBD19
PKD2
SULF2
ARL9
ZNF578
TDRD12
TAS2R19
DYNC1LI1
PCYT1A
KDM3A
JAG1
ZNF431
TAF7L
GRK7
HOXA6
MORN3
FSIP1
PES1
CFAP20
GCSAML
CDKN1A
KIF24
FBXO11
CAPRIN2
DPY19L1
HNRNPH2
PNPLA8
TBRG1
CDK19
TADA2A
CNIH2
OTUD3
RRP15
FTH1
SKIL
IL27
CD163
SMIM3
ADAMTSL4-AS1
SIGLEC7
DSE
SMU1
PDS5B
SIAH1
RYBP
APTX
CNOT2
BAX
GNAI2
PLEKHO2
TPP1
ETS2
RGL1
LIPA
LGALS8
SRGAP2
HSPBAP1
SETX
CPVL
PSMC4
CCNY
BCAP29
PFDN4
FAM21A
ZNF81
ADAM10
EGR2
CBWD5
FAM21C
RAB31
ASCC3
MFAP3
MR1
SLC19A1
ZRANB3
APC
GPR137B
ATXN3
METTL8
PIR
RPP40
ZDHHC20
MBD5
BTBD10
INTS6
DPH6
PPP2R5E
C16ORF72
RAB14
NAA15
INTS7
UBA6
PGM2
PPP4R1
MS4A6E
NMU
PSMD1
PSMD14
INPP1
UPP1
TNFSF9
VMP1
ZSWIM6
PPP3R1
AGPAT5
SPAST
ATP2B1
HMGCR
FSD1
KLHL42
SGK1
ZDHHC19
RBM28
RASA3
URB2
DOC2B
WEE1
ARHGAP10
GPR182
AKAP13
HOXA7
TBC1D2B
SLC6A16
EQTN
HOXB2
HOXB3
HOXB5
RABGGTB
IL18R1
ECE1
LRRC70
TNFRSF10D
MMP19
MCL1
PLK3
CRABP1
NFKBID
LILRB3
NLRP12
CKLF-CMTM1
PLEKHG1
KSR1
MAP7D2
RAD23B
PPP2R2A
P2RY1
RPS6KB1
NOP14
EML6
LYSMD2
IL6R
GSPT1
HSPA8
CDV3
PSMD6
BYSL
OVCH1-AS1
CHURC1
KIAA0141
PELO
SNRPE
ZFAND5
TMEM26
DCUN1D1
SMIM8
FEZ2
SAMD14
YAF2
MARK3
KLF13
AGO2
C1QTNF4
TSPAN17
PF4
OTUD4
DUSP10
KBTBD4
FAM132B
SNRPD1
EIF4E2
MTM1
FAR2
ADORA2B
THG1L
PSMG1
GMFB
FAS
CEP57L1
GAS2L3
CTSA
NIPSNAP3A
CSNK1G3
CERS6
PDE8A
SLC44A1
GRM8
COA7
NRARP
MCMDC2
HOXA2
ZFP91
NT5C3A
HARS2
MTRF1L
VPS8
FARSB
LANCL3
S100A10
LRRC19
DYRK2
SH2D7
TMCC3
ZNF124
NCR3LG1
LRRC75A
BEST4
GUCA2A
PAPD5
FLVCR1
CPOX
ZNF326
PBDC1
LCORL
CLDN15
HACL1
PANK3
LCLAT1
HNF4A
MAN2A1
GCNT4
ABCB10
BST1
AQP10
RFK
HSD17B11
STARD4
CHN2
NR1I2
TNIK
PHLPP2
SULT1B1
HHLA2
CDH17
CEBPG
CLRN3
MUC13
KDM8
CYP3A4
APOA1
APOB
LRRC28
SLC30A10
METTL7B
GCLM
CYP3A5
CDHR5
HTR1D
TREH
ABHD6
MAF
REG3A
PRKAB2
PGA5
STK32B
LY6H
SCG5
FBXL13
SLC30A8
GRPR
TOR4A
LETM2
SLC7A11
ST18
PROK2
SLC20A1
MMP1
EMP1
DUSP5
MCTP1
LIF
ABLIM2
TEAD4
TPST2
TDO2
ITGA5
CNEP1R1
RIC8B
ANKRD7
GUCY1B3
SERPINE1
COLEC10
TRIM61
ITPK1
GPR3
C2ORF43
TSNAX
TRAPPC6B
KLHDC10
RRM2B
C6ORF211
PCNX
MAP3K5
TRIM24
ZNF541
CCT8
BRE
MICU2
TIMM17A
EIF1B
RAB21
SMARCA5
FAM188A
RPL26L1
NANP
NR4A3
DNAH11
AKAP7
SCCPDH
C9ORF84
ADIPOR2
MTCP1
C19ORF83
AMHR2
ARL8B
DPP8
POLR3F
GPKOW
FAM179B
MOBP
KIAA1257
C16ORF62
SH3RF3
WNT2B
PSORS1C1
FAM155A
SCN3B
NFASC
PCDH11Y
YWHAG
TSPAN7
MRPL30
SNCB
FAM57B
KEAP1
FBXW11
KIF6
CFAP61
ABCG4
TNFSF18
CSMD2
CCDC184
KLHL4
ARL13B
CCDC170
C2ORF16
ULBP3
C8ORF48
NME7
DNAH6
CFAP221
BBS4
SPAG9
BRWD1
ZNF625
TCERG1L
AAK1
MPPE1
LPGAT1
FAM3C
ATE1
OXCT2
CXORF31
CPZ
GDF6
ENPP2
ARNT2
SH3GL2
TOB2
ANKS6
ZNF714
ESF1
ARHGAP28
CHST15
SCN11A
B3GALT2
COL4A3
MAPK14
TIPRL
C4ORF27
SLC8A1
REV3L
JAZF1
FEM1B
FAM160B1
CDK17
KLF7
KLHL20
ZEB1
PDPR
ATP2B4
BAG2
PCGF6
AAED1
MICAL3
TACC1
LINGO2
DDX19A
DPH3
CRYGN
SNCAIP
HOXD10
RAMP1
TNFAIP8L3
KLHL5
UBE2R2
MICAL2
LARGE
EML1
FILIP1L
ASPN
FNDC1
CHSY3
GREM1
PRND
PANX1
CCDC102B
MTCL1
S1PR1
PTPRB
CLDN5
ITSN1
ABLIM3
FAM26E
C1ORF167
FBN1
ADAMTS15
DCUN1D3
TIPARP
LYVE1
C2ORF66
ARNT
KIF1A
RHOBTB1
KLHL3
PTPRQ
CUL1
INPP4B
STAT3
CREB5
FAM228A
IL6
FOSL1
ABHD2
EGR3
IL13
CRY1
ANKRD28
EXOC6
HBEGF
KCNE4
TPST1
CPM
ADAMTS10
ACTR1A
MTMR9
WDR37
CLASP2
KIFAP3
SEMA5B
FRMPD4
MTMR7
RAB6C
DCTN4
USP35
HPCAL4
SLC1A4
CELSR3
CDIP1
KCNJ3
MAPK1
RBFOX3
MYH15
ZCCHC18
THEM5
C3ORF80
USP5
ATP6V0A1
GUF1
LCTL
FBXO45
AGTPBP1
CIT
SEMA6B
GPRIN1
SLC4A10
SYT5
EEPD1
GPR162
ARC
HAS1
BDNF
SYN1
WNK1
C2ORF61
LINC01118
ASIP
ANKRD45
ICA1L
WDR49
CSMD1
MRPS17
RARA
HOXA5
ARMC4
CCDC81
STX2
RSPH10B2
RSPH4A
NRIP1
TGM2
TRAPPC3L
SDHD
CLHC1
C6ORF201
C7ORF57
BIRC6
ASCL5
MBOAT4
C10ORF25
CD93
THBD
SLC11A1
TREM1
MCEMP1
PGC
MVB12B
HEY1
DLL4
CLEC1A
PCDH12
TPPP3
TMEM180
MICALCL
RAB40AL
HS3ST2
IDI1
GLT1D1
ZXDB
TMPRSS6
SERPIND1
GADD45A
TOR1AIP2
ZNF367
ORM2
HSD17B6
FGG
IGFBP2
TMEM97
CLEC4M
ACAA2
SLC25A13
HAO2
HSPD1
SLC27A2
ACOT13
NECAB2
ANGPTL3
LIPC
HPD
HAAO
SLC38A4
FN1
PROX1
WISP3
IFT88
ATP6AP2
PPP1R21
STAU1
XPR1
C11ORF72
LIN52
GLUD2
FMO4
ZNF790
GDF7
POLD3
BMP2
MT1H
NTS
ABCA4
RMDN1
PSORS1C2
GSDMA
ATG9B
NPEPPS
WDR47
FYTTD1
ECM1
NOP16
ZNF706
C11ORF42
ARRDC4
SERPINB8
TIAM1
HORMAD1
GNAI1
RIOK2
OSER1
THUMPD2
ZNF660
FOPNL
MAT2A
C20ORF144
MYT1
NAP1L6
CITED1
SLC41A1
HEG1
ZNF620
SCGB2B2
SESN1
CCDC62
MKNK1
SDK1
ASCC1
SYNPO
SBK3
SDPR
ABCC9
APOLD1
OPA1
ASB1
C4ORF29
CCDC141
SPSB4
MYO18B
CALM3
VBP1
BTBD1
CAPZA2
PARVB
UBE2D1
CUTC
UBE2B
COPS5
MAP7D1
XPO4
AP1S2
ASB11
RAF1
MYL12A
EGLN1
ASB14
LRRC39
MURC
RRAD
MYL3
E2F6
PKD1L1
MRPS28
CDH13
DNAJB4
TMOD1
PDE4DIP
LYRM7
AKTIP
UBE3A
NDUFAF6
CHRNA1
KPNA1
OGFOD1
ARPP19
TTL
PSMC1
USP38
TPM3
TAPT1
PSMD11
KPNA3
DYSF
WDR12
PSMD3
GUCA1B
