CHKB
APOBEC3C
TRIM38
CD48
CD79A
FCRL5
EOMES
NCR3
TCL1A
LAG3
CD79B
HAUS1
DPM1
HNRNPF
PSME1
EMG1
AATF
RRP8
ZNRD1
MBD2
HLA-DRA
HLA-DMA
PSMB8
TNFRSF10A
CD3E
P2RY10
CD96
C19ORF40
KIAA0125
HLA-DPA1
RPF1
ICOS
NFKB1
PPP4C
PHF5A
MAGOH
SCAF11
HMGN2
FXYD5
RAC2
TBC1D10C
TAF12
DCPS
ZBTB8OS
HAUS4
SRSF10
BNIP2
CWC25
REST
HIST1H1D
ZCCHC9
PPCDC
RNF181
BLOC1S5
CNPPD1
PSMB1
APEX2
CHEK2
KLRB1
TMEM138
STAT6
ANKHD1-EIF4EBP3
PARP14
CLEC2D
LCK
PYHIN1
SIT1
BTLA
FCRL2
SLAMF6
STAP1
IRF2
GIMAP5
CARD8
IL24
FLT3LG
SP140L
FAIM3
FCRL3
MS4A1
DPP9
ZAP70
GBP4
DOK2
TANK
CBLB
IL7
DHX16
PRKCH
HLA-E
GSAP
APOL3
HLA-DQA1
HLA-DQB1
IRF3
UBA7
GZMA
SAMD3
CCL5
FAM111A
SP100
ZNF394
CASP8
CTSW
TBX21
NMI
HCAR3
MAN2B1
CST7
KLRD1
GSDMD
ARPC1B
IL2RB
CXCR3
NOL10
RHBDD1
BMF
SLAMF7
HSH2D
IGLL5
FBXO4
CLPTM1L
ZNF525
TOR3A
RCC1
DENND2D
CLNK
ZBED6CL
MAP3K1
CD72
SYVN1
METTL23
NSMCE4A
DRAM2
VRK2
ZCCHC7
TIFA
GRAP2
LAX1
TP53INP1
SKAP1
TCF19
C12ORF45
NFATC2
LDLRAP1
CCL21
KIAA0020
MOB1A
BTN2A2
CD3G
CCR7
CD40LG
MALT1
RNFT1
CD40
CNN2
BIRC3
SLAMF8
CD2
IL7R
SLAMF1
TRAT1
UBASH3A
PLA2G2D
IL2RA
TCF7
GPR171
IL4R
TNFSF11
GCSAM
FCRL1
CASP4
BCL2L12
FDCSP
ANP32B
RFWD3
EDEM1
CNOT1
SMEK1
ATXN7
GMPS
ELF1
ARHGAP15
SLA2
CD247
BTG1
PTPN2
REL
SOCS1
NFKB2
SNRPB
ABT1
HPS1
ZNF586
CDCA4
WRAP73
KIAA0922
HLA-DQA2
HLA-DPB1
TNFRSF13B
GZMK
PRKD2
APOBEC3D
SH2D1A
PLCG2
CHRAC1
RALY
MTMR14
MCM8
STAT5A
HAT1
TRMT2B
NUP37
KARS
NCOA3
NFATC1
GPS2
ADSL
NEDD1
LYAR
NFATC3
DAP3
C14ORF182
PSMA3
LSM5
UFD1L
NOL11
LSM14A
PSMA7
NGLY1
HAUS8
ZHX1-C8ORF76
MEF2B
RPL13A
IRAK4
XCR1
STYX
MED18
LRR1
TNFRSF4
MDFIC
CXCL9
LRRC69
IDO1
CNR2
FBXO46
OR13A1
OXSR1
NSMCE2
PARL
SNF8
QARS
CNOT11
ACTL6A
SNRPD3
TOMM6
CYB561A3
C1ORF174
PFDN5
RPL28
ZBTB40
P2RY8
ARHGAP17
CLK3
POLM
TXNIP
DPH2
HGH1
EXOSC1
TMEM243
PPP1CA
DIAPH1
TNFAIP8
SPIB
ICAM3
TXK
EEF1B2
CXCR6
SYNGR2
EIF3B
UIMC1
RPIA
FAM46C
EIF3A
TCEB3
EIF3H
SURF1
CMTM7
DNAJC4
COMMD3
EPB41
CD1C
CD3D
YME1L1
DDX19B
ZFAND6
EIF3I
TPRKB
FARS2
SYTL3
