LSM6
IL4I1
STAP1
BTK
TNFRSF13C
ADCY7
TMSB4X
SLC12A3
CASP4
RGS13
BCL2L12
BTG1
CCDC88C
CXCR5
NUDT1
BABAM1
PKMYT1
CDK5R1
ARL5C
C3ORF20
COL19A1
SIRPB1
SAPCD1
MROH6
KCNK7
NOD2
RNF166
LYL1
RNASEH2C
PTH2R
PRSS21
COL24A1
PPT2
GDNF
BAMBI
PRKAR2B
SUFU
NSG1
SAMD1
ADM5
GPC2
UCN2
COL7A1
TAF7L
SLC46A2
KREMEN2
PUSL1
EPHB3
PODNL1
TAS1R1
MSMB
RGS2
SSBP3
B4GALNT4
MPPED1
GPR68
PGAM4
RAB3C
STMN2
IFITM10
JAKMIP2
RGS7
SYNGR3
CEND1
LUZP2
CPNE7
BCAS1
REN
GBP2
RHCG
LSM7
PFKFB3
H2AFX
TNFSF9
HIST2H2AC
CEBPD
C12ORF75
TOX3
GREM2
C1ORF106
OVGP1
TMEM158
RIN1
C19ORF57
PTK6
SYT8
ANXA8L1
EDAR
CDKN2D
TIAF1
WNT16
SLCO4A1
RAP2C
CATSPER1
PPP1R14B
NUTM2F
MYZAP
NUDT2
RPS23
RPS18
RPLP2
SLC8B1
PLAGL1
HOXB2
KCNK6
CCL11
MMP23B
ABTB1
ACAP3
YPEL3
EHBP1L1
POMC
HCST
SUN2
CCDC88B
XCL2
FAM209A
IER5
ARHGAP4
ZNF787
UNC13D
FAM178B
C19ORF38
CEACAM4
CSF1
CKLF-CMTM1
DHX58
PPM1N
SEMA7A
IFFO1
C10ORF105
FXYD7
PROCA1
MYO7A
HSPA6
H2AFB2
H2AFB3
IL12RB2
LGR5
IL6R
MIDN
B4GALT5
SLC5A10
SHD
TAF10
BLOC1S5-TXNDC5
ROGDI
GFI1B
KCNH2
RBM38
G0S2
PET100
C16ORF59
REC8
CDHR1
MUC12
NOXO1
COX6B2
ERN2
DHRS9
CEACAM7
S100A10
FXYD3
AQP8
GUCA2A
GALNT8
LEFTY1
