TIMD4
AP1B1
CCM2
RINL
PRKCD
TREX1
TSPAN33
PPP1CA
TALDO1
GCNT7
COMMD9
HYAL3
LINGO3
SYNGR3
ALAS2
PRSS36
TXNL4A
UGT3A2
ELANE
BLVRB
MAPKAPK3
CBX4
ABCA7
RHBDF2
HSPA8
CLCN4
CLDN9
HIST1H2BC
HIST1H3H
IMP4
SSNA1
OAZ1
PPIF
PF4
AP2S1
HBA1
PHOSPHO1
TMEM141
COX6A1P2
MLX
ZBTB7B
ACADS
DCAF11
ESRRA
NEU4
MRPS12
AGPAT3
PRAP1
TRPV1
MRPS34
MPND
IMP3
ST18
NDUFA7
MRPS11
RRAGD
SFMBT1
LAMTOR2
FOLR3
SLCO4C1
SCO2
C2CD4D
C1ORF53
DCC
FAM196A
FGD4
MIOX
HCN2
ATP1A3
SLC25A22
GPR150
ECE2
GPR155
SV2B
ABCA2
GPR45
UPK2
CTSD
VIPR1
ALOX15B
ACAA1
ZNHIT1
GCGR
HAGH
ETFB
DCXR
ASPDH
PGA3
PGA4
TOLLIP
HDDC3
TSTD1
TECR
DGAT2
CD82
MYT1
NDUFB11
UQCR10
ALDOA
PHPT1
GPI
COX4I1
CLPP
COX8A
COX5B
CYC1
MDH2
SLN
PRADC1
NDUFA2
AURKAIP1
NDUFA13
NDUFA3
ENDOG
PTRHD1
AP5S1
ANAPC11
FBXW5
FTCDNL1
ARPP21
C6ORF136
DBI
SLC31A2
MATN4
SLC16A10
BMP5
KDM5D
TMSB4Y
USP9Y
ZFY
