TTC24
KEL
DHRS13
REXO1
HIST1H2AD
HIST1H2BF
PLCXD1
DUS3L
C9ORF43
EIF2AK1
NUDCD2
PPIAL4B
PPIAL4C
TRIM41
MRGBP
ZNF395
DNAH8
GRID2IP
WDR34
KLRC2
TMEM134
ANKRD37
STPG2
SRRM5
PPP1R35
CMTM1
TSSK6
EXOSC5
TPT1
MKNK2
GYLTL1B
DUS1L
RPL29
RPL31
GLTSCR2
RPL36
RPS9
TRABD
SLC25A45
POLD4
IFNLR1
MRPS2
CTBP1
NOSIP
CSNK1G2
AMDHD2
NELFB
WDR24
E4F1
NME3
BTBD2
XAB2
TELO2
INTS1
PIDD1
VPS51
TBL3
NELFA
RHOT2
OXLD1
GLI4
SUGP1
PWWP2B
MAEA
C1ORF159
EXD3
SCRIB
MBD3
USF2
RFX1
SAP18
LONP1
C16ORF95
NDUFC2
RAB11B
OGFOD3
MRPL43
GUK1
GET4
SPSB3
OGFOD2
TXNRD2
PHRF1
C19ORF24
ASPSCR1
PEX16
RNF126
CHERP
DPP7
H1FX
CBX4
ABCA7
HEXDC
PRR5
FGF20
ACSL6
HIST1H1C
HIST1H2BC
HIST1H4C
CWC15
KIAA2018
PQLC1
RFESD
HIST1H2BE
EYS
NARFL
PLEKHJ1
HIST1H3E
ATG4D
UBALD2
C9ORF173
SLC9A3R1
AKAP9
LEAP2
MPST
C8G
FAM3A
SDHAF1
CAPN15
EDF1
MPND
NOXA1
GHRL
TIMM13
STK31
TMUB1
ZFPM1
EPN1
COMTD1
ABCA5
IMP3
KCNE2
C7ORF13
ABHD16B
FBXL14
CHKB-CPT1B
ATAD3A
DEFA3
TECPR1
FBRSL1
FSTL4
PIM3
C14ORF80
NFKBIB
CXXC5
C2CD4D
PCP2
SLC25A10
TSACC
TEX22
IRGM
HEATR9
GPR61
LRRIQ3
ABCF3
PMPCA
TM7SF2
COX16
RAB3IP
HOOK1
RAB11FIP4
COQ4
YBEY
ALDH5A1
KIAA1217
RAB43
FAAH
TSGA10
MIOX
ELFN2
PAK6
MAP3K9
LAGE3
BAIAP3
TTLL13
LIPJ
LINGO4
LRRC45
LRRC56
TMEM41B
PGC
ZDHHC11
GCHFR
ALDH8A1
LIME1
ETFB
DCXR
PC
DIO1
CHAD
CYP4F11
PDF
KCNJ16
GPR113
GNPTG
OARD1
CLEC18C
MRPL57
WDR18
TRAPPC6A
LIPT2
DDTL
RPS19BP1
SURF2
SMIM1
EXOSC4
CHCHD5
PCSK4
ZNHIT2
D2HGDH
RDH12
TOLLIP
THEM6
MFSD3
NUDT14
PM20D1
HDDC3
TSTD1
COL9A3
CYSRT1
TECR
BNIPL
PLCH2
TNNT2
TEN1
POU3F1
GUCY2D
C11ORF85
PEX5L
CPTP
COX7C
PCBD2
KLHL31
ST8SIA5
C21ORF33
NDUFA2
AURKAIP1
BCKDHA
PXDNL
DOK7
ANAPC11
NDUFB7
TNNI3
ALKBH7
NDUFS7
ATP5D
FITM1
ARL6IP4
SIVA1
TRAPPC5
GPX4
MLST8
GTPBP6
TSR3
MRPL53
NUBP2
ZNF524
ADRM1
UBXN6
RPP14
ECI1
FAM195A
C11ORF71
MTRNR2L9
ZBTB18
CARNS1
RPS10-NUDT3
RABL6
SBK1
SMDT1
RPL24
FAM71E1
BBC3
DNASE1L2
KRTAP5-9
SIX1
PNPLA2
PFKFB1
CCDC183
FAM166A
TCTE3
RHCE
C1QTNF1-AS1
KLK2
RPS28
FKSG48
SLC16A10
TMSB4Y
ZFY
ADARB2
BHLHA15
CPB1
CELA3A
TSSK2
