LINS
USP6NL
DAXX
CEPT1
NECAP2
WDR11
AQR
ZWILCH
NUDT5
OTUD5
CDC7
DDX56
NXT2
TDP1
TMEM194A
TAF5
BORA
R3HCC1L
UTP18
FAM208A
RFC2
CEBPZ
DCAF12
TRAPPC2
ALG6
RBBP5
PRPF19
PRPF4
BRIP1
GCC1
ISG20L2
VRK3
PANK2
CCDC138
BPTF
RBM14
ZNF830
DDX23
DNA2
CCNF
NONO
RNF40
GAR1
AP1G1
SPAG5
SNIP1
POLE2
STIL
MMS22L
ZWINT
HMGB1
SMC1B
TRA2B
SCAF4
MSL2
CAPZA1
RFC5
FAM76B
ZNF26
ZC3HAV1
MASTL
C1ORF112
FBXO5
C1ORF228
CDC6
ORC1
ATAD5
FANCB
NFYA
SLBP
NOP58
SRSF7
C9ORF156
SMN1
SETD2
PLK4
ZNF726
PRRC2C
ZBTB11
ZNF800
KDM5A
TOP3A
CDK12
CCNT2
USP37
PRPF40A
HNRNPM
DHFR
KIF18A
MTFR2
POLR2D
SF1
CPSF3
DEPDC5
CAND1
CALHM1
CAP1
HNRNPA3
SKP2
SLC5A6
LSM6
IL4I1
PASK
FAM72B
ZC3H12D
ACTB
TOP1
ACAP2
CNOT6L
EXOSC3
RAP1B
XRN1
ADAR
VHL
RNF111
COTL1
DOCK8
SIGLEC10
KIAA1033
PRPF38B
RNF213
NAIP
MSL3
POU2F2
PARP14
PBX4
ADAT1
QTRTD1
IL12B
C19ORF66
VCPIP1
DNAH1
ALG13
MCM9
SPOPL
PTBP3
ATR
IRF3
RFPL4A
WAPAL
CHAMP1
CCDC126
FBXO4
SRSF9
PTPN18
NEIL1
E2F5
BLNK
SPC25
GDI2
MCOLN2
ZNF215
PPAT
PLK1
STIM2
C1ORF147
MEN1
RRP1B
CLPTM1L
ZNF525
TOR3A
RCC1
DENND2D
CLNK
ZBED6CL
MAP3K1
CD72
SYVN1
AFTPH
SLC12A3
MSH6
ANP32B
RFWD3
EDEM1
CNOT1
SMEK1
ATXN7
HMGN1
TMPO
PRIM1
LBR
FANCD2
WDR76
TIMELESS
HELLS
BRCA2
LIG1
UBE2J1
DENND4A
KIFC1
CENPC
KNTC1
CENPM
RELB
PTPN2
REL
SOCS1
NOP2
LMNB1
FBXO43
RPL22L1
C9ORF114
CPSF4
EZH2
NUP50
NUSAP1
NUP210
FAM107B
FAM111B
KIAA0101
RINL
PSD4
FAM159A
LILRA4
ZC3H11A
RFX7
PRDM10
RGS10
UPF3B
ZNF557
NUP205
UTP6
PPM1G
NOP56
STK4
DDX46
SLX4
RANBP1
HTR3A
PRDM15
RPL13A
TAF4B
CDK5RAP3
ZNF681
FAM117B
ZSCAN29
TAF1D
HAUS5
