SLFN14
C3ORF20
ASCL4
HIST1H2AD
SAPCD1
RHOXF1
RGPD2
SNRPA1
PPIAL4B
PPIAL4C
OVCH1
C6ORF164
CCDC151
ASIC3
IBA57-AS1
CCDC116
HIST3H2BB
PPM1E
FAM27D1
CCDC67
RPL9
ST20
TAS2R10
RBM12B-AS1
DRICH1
DCST1
P2RY11
H2AFB3
HCRTR1
NOG
MKRN3
MAP7D2
ACR
BLOC1S5-TXNDC5
OPN1SW
IBA57
FAM106A
C1QTNF4
MAN2A2
HBG1
NXPE2
CHST5
LRRC19
GUCA2A
GALNT8
LEFTY1
PDE6A
GGN
HTR4
SH2D6
CDHR2
FAM132A
SLC51A
CASP16
CYP2D6
BAIAP2L2
DNAJB7
SCTR
MUC6
SLC25A34
FGL1
PLD5
DLEU2L
C5ORF27
CYP17A1
MTCP1
GSTM1
MAPK8IP2
CDH22
KIF6
ZNF556
MAP1LC3A
C2ORF50
CXORF31
PTPRT
SPG20OS
DCAF8
SCGB1D2
ADAMTS17
ATP6AP1L
CEACAM19
SLC45A2
CLDN20
TUBA3D
C21ORF90
GABARAPL3
HGFAC
HEPN1
C10ORF111
TMC3
ST7-OT4
TSGA10
PCDHA13
GABRB1
TDRD9
DDX25
GNG3
TMEM151B
MSANTD1
TMEM151A
CALY
CALB1
NPY
STX1B
C16ORF96
RASL10A
C1ORF111
C21ORF128
TEX29
CHRM4
TF
CRB1
EFHB
GPR45
IRX6
LINC01118
C15ORF26
RSPH10B
RSPH10B2
DCDC2B
VWA3A
TCTEX1D4
C9ORF24
FAM154B
PNLDC1
DNAI1
LRRC36
C6ORF201
C7ORF57
ASCL5
TMED6
KCNK15
CD164L2
NAA60
PGC
C19ORF80
FTCD
SELO
DCXR
GLYATL1
SERPINC1
ASPDH
GLYAT
CRYBB3
PON1
ACSBG2
CLDN24
C11ORF72
FOXC2
ZNHIT2
CIDEA
C6ORF58
LPO
RNF208
COL11A2
MZT2A
GP2
PEX5L
NMNAT3
TAS2R4
NMRK2
TRDN
PRSS42
GAL
SCGB2B2
FAM134B
TRIM54
CAMK2B
MYH7B
CA14
TAPT1
PAM16
TMEM52
ARPP21
CACNA2D2
SCX
RAPSN
HRASLS
TOMM7
UQCR11
SATL1
C19ORF68
C14ORF39
TVP23C-CDRT4
CEBPA
UFSP1
SLC25A48
PDZD9
CCK
TAC4
ZFP57
HEATR4
POU1F1
C1ORF100
FAM229A
AZU1
MASP2
NPPC
HAPLN2
MYLPF
C11ORF31
NACA2
TMEM160
MZT2B
C6ORF226
FBXL15
CCR10
MRPL52
ERICH6B
SLC26A1
MIF
CCDC183
SYCE1L
C4ORF48
TMEM249
PLAC8L1
C15ORF61
PCSK1N
DDT
ACMSD
SLC22A1
CLDN2
WEE2
SLC5A2
MEIOB
NKAIN4
AGBL4
GPC5
SART1
FAM207A
FAM153C
GNG5P2
FAM166A
TCTE3
TMPRSS9
CDH15
RHCE
SLC35G5
KRTAP5-2
C1QTNF1-AS1
TMEM213
CCDC85B
ADAT3
CCER2
CELA3A
PLA2G1B
CELA2B
F11
AMY2B
AMY2A
CYP3A43
AMY1A
AMY1C
