TYK2
RNFT2
PTPRCAP
RFPL4A
STIM2
CRIP3
ANKRD34B
SLC7A6OS
PSMA8
PRKRIR
DHPS
RP9
TPTE2
ARL5C
C18ORF21
MDS2
LYL1
SUPT5H
RNASEH2C
ANKRD10
NEU3
FSCN3
GABRR2
CNTD2
DPPA4
OCLM
IFT20
REM2
MINPP1
RGPD2
NUDCD2
VPS13C
SEC31B
TAP2
CDKN1B
CCDC154
RWDD3
HYPK
FUS
SNRPA1
PPIAL4B
PPIAL4C
ZNF775
PYROXD2
LY6G5C
C20ORF195
C6ORF164
CCDC151
VAMP2
NRN1L
SH2B1
ZNF839
TTC21B
C8ORF44
RPAIN
PAN2
NHLRC3
ZNF814
ID2
SNURF
TDRD6
BPI
MCM3AP
PROX2
NPIPB11
HAUS7
SPDYE1
ASMT
TTC34
C9ORF50
KCNC3
KCNH3
EMID1
C9ORF116
PPM1E
SPDYA
TMEM258
MPPED1
HIST2H2AC
PABPC1L
CORT
MIA3
SLC26A5
CLDN3
ANGPTL6
PPP1R35
CMTM1
TSSK6
HPCAL1
NOL4L
OGFR
CCDC38
ST20
TAS2R10
RBM12B-AS1
ZGLP1
MADCAM1
PACSIN1
RPS27
EQTN
MTA1
BRAT1
UNKL
C21ORF2
CROCC
GLI4
ARFGAP1
LENG8
SNRNP70
ZNF580
RFPL3S
BRF1
STK32C
YPEL3
STK11
HERC1
USF2
ZNF865
FHOD1
RHBDD3
SLC38A10
H1FX
CNPY3
EP400NL
FAM209B
HCG27
PRR22
DLX6
POMT2
ZNF709
PRTG
MDC1
C1D
C6ORF163
TAF10
BLOC1S5-TXNDC5
JTB
GRAMD1A
CHKA
GPR42
C6ORF223
UBB
MPP1
HTRA4
SLC43A1
CLDN9
C1QTNF4
MAPK8IP3
MAN2A2
PF4
SLC25A37
FOXD2
COPG1
PRR5L
TTLL2
MLEC
ZNF69
BEST4
GALNT8
ENGASE
SLC5A12
SLC46A1
SLC5A11
PDZK1
GFER
SLC6A20
LBX2
ERICH4
TRPV1
SDF4
AQP11
HSD17B3
SULT1C2
AXDND1
CLDND2
GHRL
CENPV
TPH1
G6PC2
SCTR
MUC6
KRTAP5-1
CNNM3
C9ORF163
F8A2
F8A3
FKBP1C
PKLR
RNASE2
FOXD4L4
TEX22
SELT
ZNF428
WNT8B
SLC25A38
HIST1H2AK
GPR61
ZDHHC2
ABHD14A
LCA5L
P2RX4
IFI6
DNAJB9
EPOR
PPM1H
SPATA13
RSAD1
DMAP1
MADD
GABARAP
C8ORF31
C4A
C4B
SCCPDH
APOC1
APOE
DPYS
UNC13A
YJEFN3
FGFBP3
TEX40
GGT7
CBS
CD320
RAD52
PRKCSH
C21ORF49
GIGYF1
ZFR2
WT1
EVA1B
SLC9A5
LRRC2-AS1
PCDHB17
LRPAP1
ARHGEF40
PIGH
MTRNR2L4
STKLD1
MIOX
CST2
COG1
GPR83
P4HTM
KIAA1841
CPLX1
CNTNAP4
BCAN
SYT9
TMEM145
CELF4
SYT2
SYT5
MTRNR2L1
MYT1L
RASL10A
ACRV1
PXYLP1
CELF5
MAST3
FOXD4
SLC12A1
SLC12A5
HAGHL
SPTA1
LRRD1
ASIP
TTLL13
LIPJ
ENKUR
LTC4S
CCDC180
NUTM2B
NUTM2E
NUTM2A
LRGUK
EFCAB12
CCDC135
CCDC114
DNAJB13
PPP1R32
NME9
FAM154B
DNAI1
LRRC36
BIRC6
STAG3
C6ORF52
ASCL5
MBOAT4
TNS3
PCDHA12
SLC22A31
NANOS3
C4BPA
C19ORF80
SLC6A13
SLC6A12
FAM151A
NAT8
ACOT13
NECAB2
LIME1
ANGPTL3
PON1
PDXP
CYP2C8
SLC10A1
MAMDC4
CRHBP
HPX
ADCY10
HSPB9
CNBD2
IER5L
ALLC
FIZ1
FUZ
SLC2A11
TDGF1
TPGS1
FZD8
OCEL1
TMEM86A
GHDC
ZNF467
ERICH6
RPS19BP1
CNPY2
SLFNL1
TMEM63A
C17ORF107
SLC39A8
RABAC1
ZFP92
CIRBP
TAS2R4
C20ORF144
MYT1
GOLGA8S
ZNF319
TSSK3
GOLGA8J
TMEM256-PLSCR3
GRM4
CTRC
DRD4
TOMM20L
SMIM4
TMEM261
C19ORF18
NDUFA3
KIF25
DYNC1H1
C3ORF49
NEDD8-MDP1
LUC7L2
C11ORF71
PAM16
ZBTB18
HDGFRP2
LGSN
RPL38
RPS26
HNRNPCL1
NLRP9
FOXRED1
POM121L7
NPB
COA5
PIN4
MAP10
THEM4
AGPAT6
PDE6C
POU1F1
C1ORF100
RNF5
NUDT13
IGSF22
ZNF652
TAS2R20
BGLAP
FAM229A
MASP2
C3ORF35
BBC3
DNASE1L2
KRTAP5-9
MS4A4E
C11ORF31
NACA2
TMEM160
MZT2B
C6ORF226
FBXL15
CCR10
ERICH6B
SLC26A1
MIF
CCDC183
SYCE1L
C4ORF48
TMEM249
PLAC8L1
INAFM1
ZNF628
FAM173A
C15ORF61
PCSK1N
DDT
ACMSD
SLC22A1
WEE2
SLC5A2
NKAIN4
KRTAP5-2
SDR39U1
DNLZ
CHRNE
MYBPC3
C1QTNF1-AS1
TMEM223
KLK2
RPS28
FKSG48
C1ORF86
TMEM121
ZNF444
IRF2BPL
TMEM187
AVIL
ZNF22
SLC9B1
GORAB
PLCL2
ZNF763
ZSCAN2
RTTN
RPL37
C19ORF60
SAC3D1
SCAND1
CHST12
CCDC85B
MRPL41
CLEC11A
REPIN1
TMEM72
ZNF579
ZNF593
CLDN23
CPB1
CELA3A
PRSS1
PLA2G1B
CELA2B
ALB
PROZ
