RFX5
DCLRE1C
POLG2
ZNF266
TBC1D22A
CDC42SE1
NUPL2
ARID1A
CMTR1
U2AF2
DBNL
CHKB
EIF2B1
CGGBP1
DDX26B
ST8SIA1
RNF4
HNRNPR
PPP1R8
POLA1
SENP1
NDE1
NCAPD2
DNAJC8
PPHLN1
PPM1M
MOB3A
NPAT
PDCD2
ZNF143
TP53RK
TGS1
KIAA0586
TRAFD1
IQCB1
NUP107
ANKRD13A
RIC1
PRKD3
RHNO1
UBLCP1
HTRA2
GRB2
BUB3
FAM192A
SMARCD1
TINF2
TARDBP
RBBP4
MED1
SUPT16H
DGUOK
DCAF7
C15ORF57
INTS4
MAP3K7
NAT10
RPP30
TRAPPC1
TRNAU1AP
MTA2
PRKRIP1
UBA3
ACTR8
ANKLE2
RRP7A
EED
C17ORF62
ZBTB14
MITD1
PIK3IP1
SPDL1
TRAF3
FMNL3
ZBTB24
CBL
TBC1D31
TRAF1
LEF1
ZNF107
M6PR
SYNRG
SMG9
TRAF2
LAT
LINS
GGA3
KIAA1524
PIK3CD
ABI1
INCENP
NOL7
ZNF773
GSTCD
TBL1XR1
RAB3GAP2
METTL4
SNX11
MSH2
ZNF182
LYRM4
ZNF860
C5ORF34
POLR2G
SNX17
NAIF1
TTI2
PDRG1
BUD13
OTUB1
APOBEC3C
MGAT5
LBH
NAE1
ZNF195
ZNF675
RBM45
TTC13
FUBP1
RBM26
PAPOLA
RBM19
TBP
PAXIP1
NOL12
FAM122B
METTL3
PDCD7
OVCA2
STARD3
OGT
LEMD2
MUTYH
CAPN10
CCDC130
TRIM52
PHF11
ZMYM6
ANGEL2
PPWD1
EGLN2
AGER
ZNF792
EHMT1
VAC14
WAC
ATG13
BUD31
CCNK
TRIM13
DHX8
SAP130
BRAP
RNF6
RBM22
HNRNPU
HNRNPK
RAD21
RBM34
SASS6
CENPL
CNTRL
ZNF551
ARHGAP19
ZNF92
SCLT1
VRK1
MIS18BP1
NIN
DNAJC9
SAAL1
DDX39A
HAUS3
MTF2
DTYMK
VTI1A
RIOK1
MCM7
CWF19L1
PPIH
USP1
PRPF38A
CPSF6
TMEM55B
EIF1AD
E2F4
H2AFZ
ZNF207
QRICH1
WTAP
GGNBP2
HNRNPD
SRSF2
EWSR1
USP16
DUT
DCP2
VPS33A
OTUD5
GIT2
ZNF280C
PSME3
UBR7
RNFT2
YWHAB
PDE6D
ENOPH1
CALHM1
CNPPD1
IFNGR2
SMG8
ZNF77
MSL3
IL27RA
FLT3LG
NOL8
CD70
GTF2H2
PBX4
UBE2Q1
TRMT1
SAMD9L
ARHGEF1
XPO6
FKBP15
STX16
ARMCX6
ZNF525
XKR6
CPSF4
DKC1
TCF3
RNASEH2B
KDM4C
TATDN2
UNC119
RNF113A
DHX15
PIKFYVE
KTI12
NCAPH2
BRMS1
CHFR
HAUS2
SNRPB
ABT1
HPS1
ZNF586
CDCA4
WRAP73
RAB4B
NUDT18
PITPNM1
UBTF
MTERF4
RAD17
ZBTB25
CNOT7
CHRAC1
FAM175B
U2AF1L4
EIF2B5
THRAP3
EXOSC8
DSCC1
CEP128
CTCF
QRSL1
MTMR1
NFATC2IP
ANAPC1
BMS1
GLE1
ARPC2
TAF8
VOPP1
HDAC9
CEP85L
PACS1
ITGAE
RALY
MTMR14
MCM8
STAT5A
MRPL9
NAA38
SNRNP200
USP7
TRMT6
ALYREF
CENPO
NUDT1
SCNM1
TOP3B
CEP250
FAM53B
ZNF671
ZNF530
LIMK1
SLC7A6OS
HECA
PPP6R1
ANXA2R
RASGRP2
UBL7
C20ORF196
TRAIP
HAT1
TRMT2B
NUP37
KARS
NCOA3
NFATC1
GPS2
ADSL
NEDD1
KXD1
RPUSD2
WRAP53
MRTO4
METTL13
THAP11
BABAM1
NAP1L4
KIAA0226
IK
UBE2D2
RPA2
FIBP
URM1
RANGRF
RTFDC1
SSH1
STIP1
TNPO3
NCL
CWC27
VCP
GNL3L
POLR2B
PSMD13
CCT6A
TAF15
DNAJC7
XRCC6
LSM2
CSTF2T
DTNBP1
TCEANC2
TERF2
AP4E1
RHOA
UBE2L3
TPR
TDG
FDXACB1
DCK
CCT2
EXOSC9
SMC3
USP39
DDX20
PHF19
MIF4GD
TFIP11
ISY1
PSPC1
ATG16L1
ZNF592
CBLL1
BRD7
GMEB1
UBA2
LNPEP
ANAPC5
NUP188
GLMN
CCDC77
ZFYVE26
MYCBP2
ZC3H11A
RFX7
PRDM10
RGS10
UPF3B
ZNF557
NUP205
P2RX5-TAX1BP3
FLAD1
PIK3C2B
SLC7A6
TFDP1
WHSC1
NOP56
ARPC4-TTLL3
PIF1
WBP11
YY1AP1
USP4
EMC8
AMPD3
PPP6C
MAD2L1BP
DDX46
SLX4
C3ORF17
NUP62
NSMAF
KDM2B
SEMA4D
CYTH1
CHMP7
PRKRIR
DHPS
RP9
TPTE2
COA1
GGA2
PDE7A
CDK5R1
ARL5C
C18ORF21
MTHFD2
PRDM15
ADA
RPL13A
TAF4B
CDK5RAP3
ZNF681
FAM117B
ZSCAN29
TAF1D
HAUS5
EID3
WDR46
PFAS
RASA2
HEATR1
WDR4
IKBKE
IRAK4
DEF8
ENTPD4
ZBTB32
LRRK1
ELOF1
B4GALT3
ATP6V0A2
TMED8
TRAF5
SEMA4A
SNX29
SMARCC1
UTP14A
PRKCD
C7ORF26
PAN3
SFI1
ARHGEF18
UPF1
LRRC14
VMAC
RABEP2
PWP2
ATP13A1
SLC12A9
PPAN
C6ORF62
FCHSD1
CTC1
TRMU
SWAP70
QSOX2
MAP4K2
RIMBP3
RIMBP3B
RIMBP3C
ANKZF1
PCNXL3
SAP25
FBXO41
TREX1
CXXC1
