METAP2
ZNF286A
ZNF114
ADAMTSL4-AS1
CNTNAP3B
SLC39A2
IL17B
P2RY1
UROD
SCML2
CAP2
NKAIN2
MPP1
SH2D4B
TOM1
PRG2
SHBG
CYP1A1
PAQR3
CYP7A1
PSMA1
RNF165
AURKC
PADI4
SLC14A2
ZIM2
C19ORF12
C2ORF27B
MAPT
TCP11
CXORF31
C9ORF170
DCAF8
CNTN6
ZNF788
USP31
EGFLAM
TBX18
ANO3
C2ORF66
EBF2
GALNT15
SLITRK4
COL11A1
NTRK2
LRRC7
CXORF58
CPXM2
FGF1
PALM2
CDKL3
FAM43B
CYP46A1
GNRHR
TUBB4A
CDIP1
CAPN3
ELMOD1
ACRV1
ARMC12
SLC7A10
UBC
HES7
SPTA1
TSKS
LINC01118
TMEM40
ENDOU
ALDH1A2
LIMS3L
SDHD
C7ORF57
NANOS3
CDA
ELOVL2
LRRC6
TEKT4
ALLC
DLX3
CERS3
PADI1
RNASE7
FLG
MFAP3L
GOLGA6B
LMO7DN
POLR3G
GOLGA6A
ATP1B2
NMRK2
THEGL
RWDD1
RNF144A
TBC1D26
LRRC46
TEX12
GOLGA8J
GADL1
ACTN2
NKAPL
CTNNA3
AKTIP
EPHB1
NEDD4
FIS1
ST3GAL3
BCL6
FBXO40
COLQ
PCOLCE2
TAC4
ZFP57
DCAF4L1
TAF6L
DKK2
CCDC3
CYP26B1
RBFA
LRIT3
AZU1
HAPLN2
WNT11
CDH23
MEIOB
TMPRSS9
C1QTNF1-AS1
ZNF763
GPR156
AMY1B
TSSK2
