ZBTB8OS
PSME3
POP4
TOP2A
ACTR2
TNFRSF9
SRP19
KIAA0391
MCTS1
HARBI1
ABRACL
TXNDC9
ICOSLG
CDC20
RABIF
OSTF1
FAM83A
IL1A
TMC8
TLR10
IL27RA
SELL
CR2
CLEC17A
VPREB3
CD80
MAP4K1
PAX5
LAP3
PIGW
CD300A
PREX1
ATOX1
MARS2
SYK
GEN1
CENPA
XKR6
IL4R
TNFSF11
GCSAM
FCRL1
RELB
NUP210
ARPC3
ARHGDIB
KPNA2
TNF
DLGAP5
PTK2B
STK17B
SKA1
CDC45
MYBL2
NFKBIE
RAB37
ANKRD34B
F8A1
RRM2
GYPE
HJURP
PLCG2
RAB4B
NUDT18
PITPNM1
ARL4C
RELL2
ATHL1
PAG1
SAMD10
FAM107B
FAM111B
KIAA0101
RINL
PSD4
FAM159A
LILRA4
PTPN6
IRF5
DTX1
IGFLR1
ABI3
BANK1
CLEC4C
PRKCB
CCDC88C
CXCR5
PSMA4
C14ORF182
RRP36
CCDC167
HMMR
PSMB3
IWS1
MTOR
FLAD1
PIK3C2B
SLC7A6
TFDP1
WHSC1
ARPC5L
TPX2
CLSPN
MND1
E2F3
PKMYT1
ASUN
FEN1
UBE2T
CYTH1
UGGT1
BATF
ADA
C7ORF43
BCL11A
UCP2
C1ORF54
CDH26
SNF8
CIAPIN1
UBE2V1
TSPAN33
COL19A1
PPP1CA
DIAPH1
TNFAIP8
SPIB
ICAM3
TXK
SYNGR2
SAT1
E2F2
KIF4A
IQGAP3
MKI67
HMGB3
CD58
CAMP
PELI1
CNTNAP3
RASGEF1B
ARHGAP26
CHUK
MS4A3
HIST1H2AD
C20ORF197
SERPINB10
S1PR5
PPP2CA
ABCF1
B3GNT2
MGAT4A
CYBA
ISG15
STXBP2
C9ORF139
ARHGAP27
EML2
UCN2
SMKR1
KCNC3
RCAN3
MSMB
RLN2
KIAA1244
C9ORF16
SLC6A17
CEND1
CAMK1D
SNX10
SAPCD2
FA2H
TP53I11
UAP1L1
DLL1
SGPP2
RHPN1
PLEKHB2
SLC24A5
ADAP1
FAM167A
KLHL35
IL27
TMEM167A
TYMP
MMP10
CSF3R
STK38L
GCNT2
GH1
OAS2
GTF2A1L
DNAJC5
SLC7A1
MFSD6
VPS37B
MAPK13
DSC2
MAL2
MS4A6E
ARF5
PRRG4
FAM83H
MAB21L3
TMEM154
TP53I3
HCAR2
KLHL2
ULBP2
NMU
TMEM189
C1GALT1
TGFBI
ABHD5
ERO1L
GNA15
S100A8
S100A9
IL1RN
TEC
ARNTL2
GJB2
MPZL3
PI3
PSMD1
GIPC3
PSMD14
INO80C
TTC9
DSG3
LY6D
SCEL
S100A2
MAPK6
MGLL
ADRB2
CNTNAP3B
SLC39A2
UBE2F
PGAM5
FABP5
BOP1
INPP1
UPP1
VSTM1
HIST1H2BH
CLEC18B
HPCAL1
CCDC38
MADCAM1
GNAT2
CHD7
TFEB
TXNL4A
WNT16
SLCO4A1
TNFRSF8
DOC2B
EIF4G1
DDI2
LYPLA1
C10ORF55
ELANE
GATA3
LRRFIP1
S100A4
PPP1R14B
CASZ1
POF1B
PKN3
ST6GALNAC2
HOXB3
HOXB4
CCDC153
MMP9
NUDT22
RNPEPL1
KAZALD1
ZDHHC24
TNFAIP2
IL15
LSP1
PRR33
ODF3B
CORO7
RGS19
TMC6
FMNL1
BCL2A1
CLEC4D
C11ORF21
DEFA1
DEFA1B
SH2D1B
IER5
ARHGAP4
FERMT3
RELT
S1PR4
PDE6G
ABCA7
HMHA1
STK10
MEFV
NLRP12
R3HDM4
BID
SSH2
EMR2
CD7
SLC2A6
CD1D
F2R
IFI27
MFSD11
ADAMTS14
WARS
VCAN
HCRTR1
NOG
SLC39A12
SYN3
DIRC2
TCTEX1D1
EML6
LDLRAD4
SH3TC2
CCNYL1
C6ORF223
EIF5
TRIB1
CR1L
PDE4B
CEACAM3
ENPP4
ACSL6
NCEH1
ADPRH
ASRGL1
IL1B
CXCL3
CD300E
GPR84
RGCC
LGALS12
STX11
PAQR6
TUBG1
COPS3
DGKZ
ANXA3
TSPAN17
QPCT
OSBP2
ANKRD18A
ANKRD18B
PPIF
PF4
ARID3A
ARID3B
AP2S1
PHOSPHO1
DUSP10
CCRN4L
FAM132B
DNAJB11
MTCH2
GNG5
MINOS1
GDE1
FASTKD1
HIGD1A
CYCS
FAR2
TRIAP1
PADI2
NAAA
DPP3
TMEM62
LSM12
ECT2
SCYL2
GSS
F2RL1
HEPACAM2
EPHA10
MPDU1
MMAA
MIEN1
GNPTAB
TPD52
ABHD17C
VAMP8
AAGAB
SIAE
LRRC59
ATP8B1
RHBDL2
FFAR4
NRARP
SLC35A2
ICA1
PIP5K1B
ATP6V0D1
CCDC112
GALNT12
SAMD13
TTC39A
SLC6A7
NSF
