MGAT5
LBH
ERH
APOBEC3G
TFAM
TAGAP
CYFIP2
CALHM1
RAP1A
TLR7
DERL1
CECR1
SNRPB2
MILR1
WIPF1
FYB
SERPINB9
LILRB1
CR1
ZNF80
BCAS4
SCIMP
TMEM156
SELL
CR2
CLEC17A
VPREB3
S100Z
C5AR2
CD80
SP140L
FAIM3
FCRL3
MS4A1
GBP4
PSAP
AOAH
LY96
CCL5
KLRD1
PIK3AP1
KIAA0226L
MIXL1
IGF2BP3
FDCSP
SUB1
GPR183
TNFSF8
CXCR4
CEACAM21
RBM15
PIK3CG
MPHOSPH9
EAF2
GZMB
FOXN2
CD69
NCF1
LCP2
IFNG
UBE2J1
DENND4A
RAB37
ODC1
GZMK
VNN2
CRTAM
CD180
TAF8
VOPP1
HDAC9
CEP85L
RASGRP2
ZCCHC10
POLR3GL
UBE2N
POLR3K
EIF2S1
C8ORF76
RCSD1
LSM10
PPP3CC
ANP32A
DNAJC5B
C3ORF20
GTF2E1
METTL21A
GRAP
KLRG1
C5ORF56
CD22
UCP2
MDS2
C1ORF54
PLEKHO1
ELP5
CDS2
CCDC117
ZHX2
PRPS1
ICAM3
FAM46C
ZFAND6
SYTL3
NUBP1
ING3
HNRNPLL
UBR1
TAF9
COQ10B
MED12L
PPP4R2
LILRA2
CD300LF
SF3A1
PHACTR2
HUS1
UBQLN1
UHRF1BP1L
SMNDC1
PPP1R2
BCL2L11
NMD3
TMCO3
TESC
AKIRIN1
BZW1
ZNF281
EIF2AK2
NBN
LAIR1
CHST11
LIN7A
FUT4
CCL3
SRGN
FPR1
NLRP3
OSM
C5ORF58
GCA
TLR1
SIGLEC14
LILRA5
B3GNT2
MGAT4A
CYBA
ISG15
ZFAND2A
CCL4
CSRNP1
GADD45B
CCL4L2
CCL4L1
CCL3L1
AZIN1
DPPA4
PPP1R15B
ZBTB10
HBG2
SH2B3
PHTF1
SLC2A3
PTGS2
SLC2A14
FEM1C
KLHL15
RSAD2
EXOG
MRPL10
VEZF1
LIMS1
CDC5L
NRIP2
FAM131B
PAF1
DENND2A
RNASEH1
COPB1
LYSMD3
TMED7
PTPN9
PPIL4
ALG11
ITPR1
ITCH
SFMBT2
LYRM2
SNX13
BAZ1B
FAM122C
HELZ
ING1
ASNSD1
CCDC23
TOR1AIP1
PHF3
SPECC1L
CREBRF
MAPK8
NR1D2
ATF2
FOXP1
MDK
MBTPS2
ZC4H2
HS3ST1
CASP9
ZNF275
BAMBI
PRKAR2B
NR4A2
C11ORF96
TMED4
MFI2
SFT2D1
LCA5
CCDC181
C12ORF55
TTC34
SLAIN1
HIST2H4A
SSR3
DHRSX
TMEM258
MRPL54
CIB1
ZMYM6NB
AMIGO2
C12ORF43
PRKAR1B
INPP4A
ZFR
PTCHD2
SARAF
BEX1
NAP1L5
NLK
JAKMIP1
REPS2
SYT11
RXFP1
MAP9
GDAP1
FTH1
SKIL
IL27
CD163
SMIM3
ADAMTSL4-AS1
SIGLEC7
GLIPR1
CYBB
IFNAR2
TBXAS1
TLR4
LILRA1
HYOU1
TMF1
RGS1
C3AR1
CCR1
FPR2
MMP10
FCGR3A
C3ORF36
CD14
FCGR2A
FCGR1A
FCGR1B
CSF3R
HCFC2
HTR2B
POLK
TRANK1
HEXA
SDCBP
STARD3NL
HGF
CRYBB1
YTHDF3
TGFBR1
SNAP29
NRP2
SOHLH2
RNF114
TMEM140
IFIT5
CD68
USP18
GPR88
CPPED1
IFI44
IFI44L
MX1
SRXN1
C12ORF54
LINC00923
RNF2
IKBIP
TXNRD1
C16ORF72
PIGK
CCL3L3
TRIQK
PPP2R3C
RB1
RASSF3
HTR7
C10ORF12
SERP1
SEC62
CCDC28A
NCOA7
SFXN2
CCDC71L
VMP1
DAPK1
MIA3
ZDHHC19
SUMO3
C22ORF24
INMT-FAM188B
AIMP1
BFAR
TSC22D3
SEC11A
HSPA5
HSP90B1
SERPINB1
PLSCR1
MCL1
PDIA6
B4GALT1
GLB1
DERL2
TXNDC11
PPIB
ERP44
CREB3L2
EFCAB13
CTSZ
DUSP1
DNAJC3
HIST1H2BK
OSTC
TRAM1
FNDC3B
C10ORF11
TNFRSF10B
TXNDC5
IL5RA
SPAG4
CD63
FUCA2
GPR15
PCTP
CRACR2A
PKN1
LENG1
ZCCHC3
CNPY3
XCL2
CLEC4E
GZMH
SLC15A3
SH2D1B
AKIRIN2
ICAM2
ST6GALNAC4
FRAT1
DPEP3
SOD2
CYB5R4
C19ORF38
CEACAM4
LILRB2
LRRC25
CMTM2
NLRC4
CD1D
MYO7A
OR1L8
CAPNS1
NT5C2
GNA12
C11ORF84
KCNMB3
SLC43A2
AKR1B1
PLA2G5
WARS
CD274
POTEF
SLC39A12
SYN3
LYSMD2
GSPT1
HSPA8
CDV3
POLE4
HSPE1-MOB4
TMA7
MORF4L1
BST2
KCTD21
CHCHD2
UQCRB
APIP
CREM
SMS
TAB2
DSCR3
