RNASEH2A
TIFAB
CAPN14
RDM1
PASK
PAX5
RFPL4A
TCF19
ODC1
KIAA0922
KEL
CCR6
MND1
MCM2
SUV39H1
MEF2B
IL17REL
FOXP3
LTA
PDE7A
SEMA4A
SMARCC1
SLC38A1
SYMPK
MAD1L1
CNR2
GP1BA
FBXO46
GEMIN7
OR13A1
ANP32A
DNAJC5B
NR3C1
ZBED4
SKA3
MS4A3
ZNF408
RELL1
PLCXD1
ZCCHC2
BARD1
GP6
FSCN3
FAM76A
MFHAS1
ZNF622
TLE3
RAPGEF2
ZNF878
KIR3DL2
CARM1
ZBTB39
ZNF300
MEX3B
NRF1
ZNF526
SGK223
FOXP1
TAS2R31
TAS2R19
FBXO39
UCN2
KREMEN2
SPTBN5
PODNL1
TRIM65
PYCARDOS
CHAF1B
C1ORF194
LMAN2
TUBB8
FSCN2
PRKAG2
KIR2DL4
FRMD4B
HIVEP1
HPSE2
KLHL10
MAB21L3
MPZL3
PI3
SLC39A2
ZXDC
NPIPB7
NPIPB9
RAB25
CCDC64B
HIST1H1E
C19ORF57
N4BP2
CCL17
CHD7
CDRT15
ORAI1
ANXA11
SLC9C1
ZNF282
SH2B2
OOEP
NCR1
PLEKHG1
ZADH2
ACSS1
GJA3
MKRN3
TBC1D1
ZNF99
STON2
ACR
KBTBD4
FAM132B
MRPL11
NOXO1
NET1
GCNT3
C15ORF48
FAM3D
MAP2K6
LRRIQ4
CEACAM5
FAT1
AMN
BCO1
CCR9
CALCB
CASP6
VIL1
TRPM6
PDSS1
LGALS4
HHLA2
TUBAL3
ENTPD8
SLC25A15
TJP3
AGPAT9
SMIM24
PRAP1
NCK2
CLEC4F
SLC5A1
SLC52A1
SULT1C2
SLC23A1
CD160
STK31
GSDMB
DEGS2
C17ORF67
UPK1B
PYCR1
PPDPF
SRMS
SLC22A23
VWA2
FAM83E
DOPEY2
GIPR
PDE4D
E2F8
FRAT2
TK1
EREG
CTSG
RAB44
ZBED2
TGFA
SLC28A3
CCR8
CXCL6
RAB19
ARHGEF38
EPPK1
RBBP8NL
MET
GLDC
TEX22
ENC1
FAM222B
CNKSR1
SMTNL2
LMO4
C8ORF48
LRIG3
AFMID
UGT2B7
STXBP6
ERBB2
IGSF9
RCVRN
SMAD1
ZNF788
ACKR3
ITIH5
EGFL6
LRRC2-AS1
TNK1
CLIC6
CAPN6
KIAA1456
RTN4RL2
ATAD3C
BDKRB1
ZNF385D
SMAD3
SNX31
KRT13
NIPAL4
CAPN12
TYMSOS
HES5
MBP
CHI3L1
ARRB1
GPR45
FOXI2
SLC22A14
LRRD1
ASIP
OR5K2
PP2D1
TM4SF19
LRRC18
MSLN
DNAJB13
FOXJ1
VTCN1
C1ORF168
EDN1
KLRF1
LIMD1
OIT3
CYP4A11
CLDN14
LIPC
ACSBG2
CLDN24
CISH
GPR113
ZYG11A
PLEKHG3
KIF12
GGT2
TDRD1
PLEKHA7
ABCA4
AOC1
SCLY
C6ORF58
DRAXIN
PHGDH
PSORS1C2
RHOV
A2ML1
ALDH3B2
KRT6A
ALOXE3
JUP
EPS8L1
AIM1L
NCCRP1
C2ORF54
AQP3
CYP4F22
NOTCH1
SFN
PLA2G4F
TMEM184A
TNS4
LAD1
PKP3
LAMB4
NIPAL1
GSDMC
ADAD2
C19ORF47
CEP72
METAP1
CLCA4
STK40
S100A14
TMPRSS11E
PER2
KLK11
MAVS
ST6GALNAC1
CLDN4
TMEM171
MUC4
PPP2R5A
RTKN2
CD82
UPK3BL
KRT4
PTPRK
CFTR
AMBP
DTX4
CDH1
MYCL
AP1M2
TMPRSS4
FAM3B
PHEX
FUT6
GRB7
STX19
PRR5-ARHGAP8
B3GNT3
AGR3
SPINK1
KIRREL2
GP2
GUCY2D
CILP2
C11ORF85
EIF4EBP1
BARX2
CRISP3
SH2D3A
POU5F1
TMC4
ACSM1
CREBBP
FOXO3
ZNF385C
PRSS42
CDCA7L
XRCC3
CDCA7
EFCAB8
CBFA2T3
ITPRIPL1
ZNF710
MYLK2
SLC16A5
RBM44
C16ORF3
GAS2L2
SHISA2
SLC4A5
EGF
TMEM256-PLSCR3
GRM4
CTRC
DRD4
TOMM20L
IDH2
PERM1
RAF1
WDR62
MYO18A
FSD2
MYL2
CKM
PKD1L1
TRIM55
ARHGAP24
CHRNA1
KIF25
PLEC
C3ORF49
PXT1
C9ORF131
PSMF1
DNAH3
OR2C1
NLN
INHBE
TESK2
FAM221B
MYLPF
MYBPC2
TNNI1
MYBPH
WEE2
SLC5A2
TMEM213
TMEM92
PTGDR2
HSD17B2
DDX3Y
EIF1AY
UTY
IL31RA
CCNE2
KDM5D
RPS4Y1
TMSB4Y
LRIG1
