HLA-DPA1
TOMM5
KLF12
PPP2R5C
POP5
ZFAND4
CD27
THEMIS
CD5
TNIP3
VAMP1
TTC24
SLC25A40
NUGGC
IGLL5
CD8B
ODC1
RBL2
HLA-DOB
C21ORF67
PDCD1
CARD11
HLA-DOA
HLA-DQA2
GPR55
HLA-DPB1
TNFRSF13B
GZMK
OR52N4
ITGAE
POLR3GL
HTR3A
CD6
PCNXL2
AK5
SCAI
FAM24B
GSPT2
CCL19
TFB1M
KLRG1
NPRL2
DNAJC4
COMMD3
EPB41
CD1C
CD3D
TAZ
MTDH
ERBB2IP
DNHD1
ZNF775
ACRC
RPUSD4
SAMM50
SNX15
NAT6
RAD9B
AMER1
EMILIN3
DAPK2
ZC4H2
SPG7
ZNF589
CAMTA2
EPHA4
ACSBG1
CRIPAK
MYEF2
WBSCR22
PTPN4
TMEM219
LDOC1
RNF32
LCN12
SLC16A7
PRKAR1B
NUDT10
LAMP5
CNNM1
MPPED1
CBX6
NUDT11
DMRTC1
DMRTC1B
SV2C
MAST1
JAKMIP2
RNPC3
GOLGA8B
NIPAL3
WDR17
ATP8A1
GRIK5
FRMPD3
GDAP1
CAMKMT
ABCD2
SGPP2
STK39
ZDHHC15
KLHL10
LMF1
PRPS2
CACNA1I
CCL17
BCL7A
PACSIN1
MYBBP1A
FCER1A
MRPL23
FBXO6
HOXA4
CCHCR1
LCN10
HLA-DRB5
AMT
CLEC10A
RORC
CCL14
PTGDR
HLA-DRB1
ZFP36L2
PKHD1L1
LRP5L
GLI4
ACCS
FAM153A
CD8A
ARRDC5
FLT3
FAM209A
FAM209B
HCG27
ENPP4
KLF13
TUFM
PHF7
XRCC6BP1
FAM162A
MAP2K6
NR3C2
NEO1
HOXA2
LANCL3
CCDC112
TTC39A
OTUD7A
FAM73B
ACSF3
SOAT2
CPNE6
C9ORF41
ACBD4
CA13
DAB1
SLC5A4
ACKR4
ZFYVE28
SFRP5
PRELID2
DCAF11
SLC25A20
MTTP
KDM8
CYP3A4
LRAT
DHRS4
COX11
PARP3
GSTM4
TMEM177
SIPA1L3
C1ORF177
PAOX
CLEC4F
CYP2D6
MPND
NOXA1
GHRL
SMPD3
CENPV
TM4SF4
MYL5
VPS13A
AGAP10
AGAP9
CATSPER2
AMPD1
SEZ6L
TRIM74
SPTSSB
TBX6
FAM98C
CHRNA7
INSC
FAM102A
VWA7
PPDPF
SRMS
TMEM238
GIPR
ANAPC15
IFRD2
CLUH
ITIH4
SPNS3
SAT2
ZNF181
CEP70
STK33
DENND1B
KBTBD11
AQP6
ZNF780A
CCR4
POU2AF1
RAB39B
SORL1
NLRP14
MPP6
SRP9
UPRT
SCPEP1
CCDC159
HMGN5
COMMD6
MOSPD3
SLC18A2
KIAA1958
KLHDC8A
PQBP1
TMEM255A
PITRM1
IFI27L1
SHF
MROH7
TSPYL1
SLC16A9
KBTBD3
SSTR2
DNAJC12
DUSP23
SERPINA5
KCNN2
ACACB
ALDH3A2
YPEL1
SERF1A
FAM19A1
ATP6V1G2
KCNN3
SIAH3
SERF1B
C2ORF27A
TEF
MAGEE1
NBEA
OLFM1
FAIM2
ADCYAP1R1
GRIK3
XKR4
DCLK1
NOVA1
KCNA2
PAX6
C2ORF27B
GNAZ
SUSD5
SIRT3
TTLL7
RGS7BP
IFT172
C8ORF34
KIAA1755
GABRB3
GPM6A
IMPG2
TTC30A
LEKR1
ZNF277
SORCS1
CST3
AGFG2
STEAP2
NAP1L2
CNTN3
KIAA1147
FAM221A
ZNF485
CBX7
ZNF727P
TDRD3
ARIH2OS
MKX
ROM1
CA11
ZC3H12B
NMT2
SLC25A27
NTN5
METAP1D
PTCH2
PITPNM3
GSTM2
FAHD2B
PLCXD3
MTUS2
H2AFY2
SLITRK3
C17ORF51
OPCML
AR
BCHE
PCDHA3
PCDHB4
SMIM19
C17ORF97
NME5
GDF9
KLHL32
FAM227B
ASB13
MPV17L
TPMT
HYKK
COL4A3
PEX5
NINL
TSEN2
L3MBTL4
CHL1
ZNF584
KLHDC9
MDH1B
RERGL
PACRG
SLC16A11
FAM166B
EYA4
NEK10
CFAP46
TATDN1
ZNF214
MT1X
SETD6
FAM185A
NT5DC1
RNF180
KIAA1671
CCDC91
FAM155B
SLC5A7
SRR
ZNF540
SERGEF
WASF3
LYRM9
CPEB3
FAHD2A
PER3
YBEY
ALDH5A1
SLC10A5
FBXO44
TCEAL2
NRXN1
PCDHA11
BHLHE22
FAM171A1
GRIN2A
TENM2
MAP2
BEX5
NPM2
LRRC4C
LGI3
CERS4
SAMD12
CYP7B1
PCDH7
MT1M
C16ORF45
SLC25A23
MANEAL
PLP1
AMPH
CHST8
PTCHD1
NHLRC1
PTPRS
KHDRBS3
LGI1
TMEM74
DBNDD1
SOX2
TMEM246
RCAN2
GNAO1
GALNT16
CPE
TMEFF2
ZNF771
CADM4
SOX10
PMP2
MYRIP
CNTN1
SPTBN4
FBXO2
ZFHX4
TMEM200C
RELN
ZFR2
GFRA3
NOS1
ZNF536
PPARGC1A
NUDT16
OSBPL1A
FMO2
FIGF
ADH1B
CXCL12
C5ORF55
SNRPN
EMCN
ZNF385D
ABHD2
EGR3
IL13
ANKRD28
PIEZO2
CHST4
ATP1A3
OXCT1
ADAM23
TNNI3K
PTPN5
NCAM1
PCDH9
RPS6KL1
GNG7
ARHGAP35
ANK2
SORCS2
GPR83
CYP46A1
TOB1
NPTX2
UNC5A
SLC25A21
PMEPA1
PHF21B
AGBL3
NOV
MAB21L1
PODXL2
SLC16A8
PRRT3
JAKMIP3
ADAM22
KIF5C
NPY
DNM3
CHD5
COLGALT2
FRMD5
MCF2L2
CGREF1
FAM222A
KCNJ9
SPOCK3
MBP
CNTN2
GOLGA7B
TNRC6C
MCF2
SLITRK5
FOXI2
ACTR1B
PDZD4
KIF19
TPO
TTLL13
LIPJ
LINGO4
BZRAP1
DACH2
RIMBP2
DCT
ANKRD45
TCTE1
CDHR3
CCDC17
LRRC18
TTC16
RIBC1
LRRC48
C16ORF71
RASSF9
DCDC2B
VWA3A
RSPH4A
CCT6B
ANKRD20A4
USP44
GDF10
C5
TAT
NR1H4
GCLC
CLYBL
BCKDHB
DHRS4-AS1
DMRTA1
ACADSB
BHMT2
ALDH1L1
DMGDH
NAT8
PECR
BHMT
BCL2L10
KHK
AKR1C1
AKR1C2
MLXIPL
GFRA1
PLIN1
SLC25A18
PPA2
ABHD14B
RBP5
DHRS4L2
CCL16
DPYD
CFHR3
CYP4F11
IGFALS
CYP2C8
C11ORF1
PKP4
FHIT
DTWD2
RNLS
ZNF747
ARHGEF28
CYS1
TDRD1
PPM1B
SLC25A33
GPD1
PPP1R1A
KLF9
RDH5
MYO3A
GSC
CIDEA
ACAD8
ATP5S
ADAL
RMDN1
C21ORF119
SLC25A42
SVIP
HADH
MPC1
ACAT1
DECR1
ISOC2
APOM
MCAT
FMO3
CYP3A7
TMEM256
IDNK
DNPH1
SCLY
OCIAD2
GALNT14
NSMF
KCNK10
NFIA
ZMAT1
GOLGA8R
IZUMO4
MCCC1
NRG1
MZB1
BMP3
CYP2R1
ANKRD20A1
ANKRD20A2
CD1B
ANKRD20A3
SORD
TRPM8
GALNTL6
GLS2
ENHO
C1QTNF3
STRC
MZT2A
PNPLA7
DBP
GLYATL2
INPP5J
RAB4A
EIF4EBP3
DENND2C
ZP3
CYP4F22
ANAPC7
UCP3
MSTN
GBP6
IGJ
CD1E
GOLGA8A
GOLGA6L9
RIC3
HLA-DQB2
C14ORF64
POU3F1
CXADR
PKDREJ
LRRC16B
SYCE2
GPLD1
SRD5A1
DGAT2
PER2
KLK11
ACSM1
CYB5RL
BEND5
JMJD7-PLA2G4B
PEX5L
CCDC101
SNED1
FPGS
ZXDA
CAPS2
NMNAT3
GSTM5
WIPF3
ABCA10
POMZP3
LCN6
THBS4
NAP1L6
ASNS
SLC38A5
GOLGA8S
GOLGA8N
GOLGA8O
GOLGA8Q
CHRFAM7A
PFKFB2
TEX12
GAS2L2
SHISA2
SLC4A5
TMEM47
ANO5
TBC1D8
MYOM2
SLCO5A1
DAND5
NDUFA4
GCDH
SNRNP25
COX7C
PCBD2
MRPS9
LRRC20
UROS
MYO18A
LIAS
COQ3
ECSIT
GKAP1
DUSP26
C14ORF159
AKAP1
TARSL2
KCNJ11
UBE2QL1
EEF1A2
LIN7B
EPM2A
ITGA7
PLIN4
COQ10A
AS3MT
PTPN20B
FITM2
AQP7
NDUFV1
COX20
ENAM
POLDIP2
ACADM
TMEM143
LYRM7
FAM78B
BTBD6
EIF4E3
PRRT4
PRKRA
RYR3
MRPS25
CECR5
FAM50B
DGCR6L
POLR2I
AK1
ADCK3
PHKG1
TUBA8
CACNG8
ATP2B2
ARPP21
B4GALNT3
STUB1
R3HCC1
RRP12
NABP2
ASB16
MROH7-TTC4
SATB1
SBK1
SLC35E4
TUBA4A
TOMM7
ZNF688
MDN1
CATSPER3
PSMF1
MTHFD1
ALDH2
SLC47A1
SLC22A13
NLRP9
SLCO3A1
CD207
ME1
ALK
ANKRD29
POM121L7
IL34
MDGA1
ALDH3A1
HINT1
BDH1
ADRA1A
TENM1
TSLP
LRIT3
ALKBH3
DCAF12L2
FAM221B
RASD2
TNNC2
MYOT
DHRS7
ITGA8
TST
DHRS11
FAM214A
SLC27A5
FCN2
RASD1
PLIN5
CDH23
ZSCAN2
PILRB
TRIM66
FAM53A
CCER2
CALML6
ZC3H8
PRKCQ
SNAI3
REPIN1
TMEM72
PSMG4
ZNF579
TMEM38A
F11
AMY2B
HOMER2
PAIP2B
RAB26
