IL21R
ZNF80
UCHL5
USP15
LACTB
MEMO1
C5ORF58
ERMN
PCSK1
UPP1
MADCAM1
WIPI1
PITX2
OOEP
DNAJC25-GNG10
SLC39A12
UBBP4
CCNYL1
SHD
NAMPT
UBB
PRG2
KCNE1L
GAS2L3
MUC3A
SLC36A1
SLC30A10
GLRX
FLVCR2
REG3A
SLC25A16
GLRX2
ELL2
NFKBIB
PDE3B
DKK1
SPATA9
GPR22
GPR155
MTMR10
SCD
SLC7A10
PLCXD2
COL9A3
TNN
NPPA
XIRP2
CMC2
NDUFAF5
ALPK2
MYH7
CKM
SMPD1
PXDNL
ATP5L2
STRIP2
ANKRD1
DCAF4L1
TMEM249
MYBPC3
SLC16A10
BMP5
DDX3Y
EIF1AY
UTY
IL31RA
CCNE2
SUMO4
KDM5D
RPS4Y1
TMSB4Y
USP9Y
ZFY
CALML6
GCG
IFRD1
TSSK2
