DNASE2
MAD2L2
MYCBP2
ASUN
SLC15A4
PRPS1
POLR1B
SUPT6H
CDK5RAP2
CEP63
RFX8
OTUD1
PPBP
NMD3
ZBTB10
TSTD2
ZNF555
HUWE1
ATG14
PCM1
SMARCA2
LINC00999
ARIH1
PSME4
GEMIN5
TMEM31
GEMIN8
POLR1E
CSNK2A2
SPTBN5
TCTN1
ZNF561-AS1
DYX1C1
SAMD15
FAM227A
C3ORF67
DTNB
ZNF114
DTD1
PPP5D1
SPATA5
RAD51C
LY6D
S100A2
BCL7A
IPO4
C10ORF11
COMMD7
DLX6
PSMD6
BYSL
OVCH1-AS1
C6ORF163
UROD
CHST10
ZSCAN1
GPR84
KMT2C
TMEM110
MDM2
ST6GALNAC6
GRM8
ORM1
CDK14
CTSL
C9ORF135
NSUN4
HHLA3
CCDC144NL
TRAPPC2L
BTF3L4
NUDC
RAB21
RDX
ZNF331
FAM89A
ZNF460
TP53TG3
TP53TG3C
TP53TG3B
EVA1C
GPR62
EARS2
WDR25
C16ORF46
IFT22
COPRS
UBE2E2
DOLK
SLC39A6
ZCWPW2
URB1
PCDHGA1
WDYHV1
NOTCH2
METAP1D
ZSCAN21
SETBP1
ZNF584
PTPRU
SLC13A4
ANKS1B
CRYGN
FAM98A
USP31
ADAMTS9
CDH20
RWDD2B
C5ORF49
VEPH1
ERI3
ATXN10
ZBTB20
ZNF433
NUP210L
NUPR1
DUSP14
ATP6V1E2
CXORF58
ZNF626
MTRNR2L4
CCNB3
C16ORF47
PCDHA13
CHST4
TBC1D25
CAMSAP1
ABHD8
IGSF21
POLR3H
PPP4R4
ZDBF2
NEIL2
FAM120C
PCDHGA11
ITGBL1
EIF2B3
PHKA1
CYB5R1
C2ORF74
C8ORF46
NODAL
ACYP2
PCDHGA12
MAPRE3
ADAM21
OSTN
BMPR1B
GLUL
CD300LG
DCTN3
IRGQ
C7ORF61
PIAS2
VMA21
SLC35E3
TMEM81
DENND5A
KCNJ14
NPAS1
MACF1
CST6
NPFF
HIVEP3
VN1R1
UBTD1
LONRF1
TLE1
UPK2
SLC22A14
TMEM40
TTC21A
TEKT2
DNAAF1
DNAH12
DYDC2
WDR63
BCAS3
CCT6B
C7ORF57
MYO1H
ORM2
HP
PROSER2
HSPA1A
MSANTD3
ANXA7
XPNPEP3
LRRC37A3
DPCD
RAB11FIP5
PLEKHD1
CLCNKA
CLDN10
TRPV4
AQP5
PRR4
SLC26A9
ROPN1B
SRP68
NOL6
LY6G6C
RP1L1
IFFO2
RAET1L
ALDH3B2
KRT6A
BICD2
TSR1
NIT2
MNAT1
MIOS
POLR3G
CD3EAP
BHLHE40
MTSS1
CYP2E1
CILP2
C11ORF85
HSP90AB1
ZNF496
ZMYND10
POLD2
MPL
FAM228B
CBX2
ZNF835
CIRH1A
FAM65A
SYCP2L
IPO5
MAMLD1
SLC25A26
TXNRD3NB
XIRP2
SLC41A1
SRM
TOMM20L
KLHL41
TNNC1
SYNPO2L
MYL2
MTERF3
DHODH
LDHB
ANKRD2
ZC3HC1
PVALB
MECR
ALKBH5
DOK7
AK1
GMPR
RRP12
EIF1
FAM53C
ST3GAL3
BCL6
PDCD2L
CCDC28B
RNF115
ANKRD1
FBXO40
CD59
LGSN
SLC22A11
RPF2
RNMTL1
ALG9
COMMD1
ZNF778
EIF2B4
PRDX6
RCL1
ALDH4A1
ACSL1
SLC27A5
FCN2
RHCE
FAM53A
