PAICS
RALGPS2
PPAT
ATIC
C10ORF2
EIF3A
STOML2
FAM19A2
NPM3
EXOSC5
NME1-NME2
MRPS2
HSPA9
PPIF
GAPDH
LRPPRC
UQCRH
C1QBP
UNG
NOXO1
MRPL3
MRPS33
CMAS
FAM162A
C2ORF88
SLC28A1
KCNJ13
SMIM24
CIDEC
ITPKA
ONECUT2
ANKRD7
SYNJ2
PMPCB
ABCB4
ZNF556
SORCS1
SALL1
TIMM9
METAP1D
TMEM117
UBE2R2
OR51E1
SFXN4
FAM69C
ST8SIA2
DIRAS1
TLL2
FAM131C
RALYL
TYMSOS
TTYH1
VSX1
DHTKD1
SFXN1
BCL2L10
THNSL1
TOMM70A
MEGF10
ETNPPL
RASGEF1C
DCX
PPP2R2C
TXNL1
OLA1
OPA1
MRPL12
UQCC2
DRG1
SLIRP
MYL2
MYH7
RPL3L
UQCRC2
FKBP3
MMACHC
PKD2L2
RPF2
RNMTL1
SLC25A48
NAA30
ATP5C1
BDH1
MRPL37
AFG3L2
PRSS3
CASKIN1
PRDX2
PLAC8L1
ZC3H8
GATM
