"x"
"TRAPPC5"
"GNB5"
"SUSD4"
"CERK"
"ATRNL1"
"ZNF154"
"TARDBPP2"
"TERT"
"BCL2L10"
"CRB3"
"RAET1K"
"CD5L"
"TGIF2P1"
"GS1-24F4.2"
"SRP9P1"
"SRXN1"
"NT5DC1"
"C1ORF53"
"IFNLR1"
"MAP3K9"
"ZNF671"
"STRBP"
"ESPNP"
"OGDHL"
"RORC"
"LINGO4"
"TMPRSS3"
"CCDC85C"
"SGPP2"
"MSL3P1"
"HS3ST3B1"
"KDF1"
"CAMSAP3"
"TTC22"
"KRT18"
"RXFP1"
"FAM110C"
"MRPL54"
"CITED4"
"ST6GAL2-IT1"
"BCL7A"
"RAG1"
"RAB15"
"FAM43B"
"OPA3"
"LINC00643"
"MAP7"
"HYAL3"
"DIRAS1"
"DMTN"
"CENPV"
"PEBP1P1"
"CNNM1"
"C22ORF42"
"TMEM132D"
"TGFBR3L"
"ONECUT2"
"ZDHHC11B"
"LMTK3"
"LRRC43"
"POTEJ"
"MIR29C"
"CT62"
"MEIS2"
"LTK"
"IFNA1"
"FAM83G"
"IFFO2"
"CSN2"
"ACTL9"
"CCDC70"
"LINC00919"
"FANCD2OS"
"GOLGA6L2"
"CYP4F23P"
"SERPINA11"
"FOXI1"
"FAM19A4"
"STARD10"
"XK"
"ATP1B1"
"ARHGEF38-IT1"
"HIST1H3E"
"GBP6"
"MIR23B"
"TLX1"
"LYZL4"
"LAMC3"
"MUC16"
"CEACAM1"
"MIR1307"
"HAUS1P2"
"ZNF784"
"TADA2B"
"C20ORF24"
"CASC9"
"HIGD2A"
"GSR"
"FAM195A"
"RTP3"
"UBE2F"
"TUBA4A"
"SLCO5A1"
"FCRL4"
"NLRP9P"
"NSUN7"
"S1PR5"
"ZNF827"
"ALDOA"
"RPS18P1"
"IGLV2-33"
"KRT8"
"REG1B"
"SLAMF6P1"
"F2RL1"
"ITPKA"
"KRT8P45"
"REG3A"
"CRISP1"
"SLC6A18"
"RPS24P17"
"SLC38A1"
"SETP21"
"OR5M4P"
"PRKCQ-AS1"
"FTLP17"
"UBBP1"
"OR8D2"
"OR56A3"
"UBB"
"SLC45A4"
"CDC34"
"ATP5G2P4"
"MIR29B2"
"RPL12P37"
"TPTE"
"SLC44A5"
"NPAP1P6"
"UMODL1"
"TUBA4B"
"NRBF2P4"
"PRAMEF4"
"OR1M1"
"OR51S1"
"DSCR4"
"EPB41"
"MIR93"
"RPSAP1"
"TPI1P3"
"LYPLA1P3"
"SEPHS2"
"TTC39A"
"SLC22A13"
"CTAGE10P"
"CPN1"
"CPN2"
"AURKAIP1"
"PPIF"
"SIRT4"
"OCIAD2"
"FGB"
"NXPH2"
"C1ORF143"
"MTFP1"
"OR10A5"
"PRAMEF12"
"AMBP"
"AFM"
"HRG"
"KNG1"
"AHSG"
"HAO1"
"A1CF"
"TDO2"
"CHAC1"
"GSTA7P"
"SPINK1"
"FAM136A"
"GC"
"C8A"
"MAT1A"
"TEX11"
"HMGB3P27"
"PPP1R2P3"
"ACHE"
"CHCHD2"
"NDUFB11"
"FASTKD5"
"UQCRFS1P1"
"POLDIP2"
"EMC6"
"UQCRFS1"
"ANO5"
"ECSIT"
"SMYD2"
"DOK7"
"TMEM182"
"LRRC2"
"IDH2"
"COX6B1"
"ATP5L"
"GLRX5"
"UQCRH"
"MSRB2"
"TUBB4B"
"SPATA24"
"ARGFX"
"COX7C"
"ATP5D"
"TMEM217"
